assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,-1,0,0.0,0,0,0.5,5.4,14,9,0,0,0,0,0,0.0,1,60,False,0,4
0,0,2,0,0.0,0,0,0.0,0.0,1,12,0,0,0,0,0,0.0,1,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,59,True,0,4
0,0,2,0,15.7,2,0,5.7,3.2,67,8,0,0,0,0,0,38.0,2,58,False,0,4
0,0,25,0,1.3,2,1,9.7,34.0,45,6,0,0,0,0,0,62.0,5,58,True,0,4
0,0,3,0,0.1,0,0,0.0,0.2,14,7,0,0,0,0,0,0.0,1,58,False,0,4
0,0,2,0,3.3,0,0,0.3,0.0,10,18,0,0,0,0,0,0.0,1,57,True,0,4
0,0,-3,1,1.5,0,0,1.2,0.0,67,11,0,0,0,0,0,11.0,2,57,False,0,4
0,0,5,0,11.3,1,0,1.6,0.2,61,16,0,0,0,0,0,4.0,2,57,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,57,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,57,False,0,4
0,0,3,0,0.3,1,0,0.1,0.2,1,2,0,0,0,0,0,0.0,1,56,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,56,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,56,True,0,4
0,0,26,0,0.3,0,1,5.3,36.0,6,19,0,0,0,0,0,17.0,5,56,True,0,4
0,0,2,0,0.3,0,0,2.2,3.0,5,4,0,0,0,0,0,19.0,1,56,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,56,True,0,4
0,0,3,0,1.5,0,0,0.9,3.0,1,14,0,0,0,0,0,4.0,1,56,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,56,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,55,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,55,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,55,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,55,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,55,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,55,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,55,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,55,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,55,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,55,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,54,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,54,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,54,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,54,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,54,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,54,True,0,4
