assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,15,0,8.3,2,0,3.0,15.0,90,10,0,0,0,0,0,7.0,1,50,False,0,2
0,2,26,0,28.1,2,1,11.5,48.8,90,12,0,0,0,0,0,38.0,9,50,True,0,2
0,0,13,0,11.5,1,0,2.2,10.0,90,13,0,0,0,0,0,0.0,2,50,False,0,2
0,0,15,0,13.3,3,0,3.7,21.4,90,6,0,0,0,0,0,2.0,1,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,50,False,0,2
0,0,15,0,19.0,3,0,4.2,16.0,90,5,0,0,0,0,0,7.0,1,50,True,0,2
0,0,17,0,12.1,0,1,7.1,39.8,35,19,0,0,0,0,0,19.0,7,50,True,0,2
0,0,6,0,0.8,1,0,0.6,5.4,39,14,0,0,0,0,0,0.0,1,50,False,0,2
0,0,18,0,26.4,1,0,8.0,22.4,90,20,0,0,0,0,0,31.0,2,50,False,0,2
0,0,11,0,6.3,4,0,2.0,12.4,90,1,0,0,0,0,0,1.0,0,50,True,0,2
0,0,15,0,26.0,1,0,4.7,17.0,90,2,0,0,0,0,0,4.0,2,50,False,0,2
1,1,37,1,36.8,0,0,8.0,37.0,90,7,0,0,0,0,0,6.0,10,50,True,0,2
0,0,14,0,11.4,2,0,3.3,13.0,90,9,0,0,0,0,0,9.0,1,50,False,0,2
0,0,18,0,65.8,1,0,10.4,22.6,90,8,0,0,0,0,0,16.0,1,50,True,1,2
0,0,17,0,25.7,3,0,6.6,20.6,90,16,0,0,0,0,0,20.0,1,50,False,0,2
0,0,13,0,25.9,1,0,6.8,17.8,90,4,0,0,0,0,0,24.0,2,50,True,0,2
0,3,42,1,20.0,0,1,11.7,47.4,90,18,0,0,0,0,0,50.0,15,50,True,0,2
0,0,17,0,2.6,3,0,3.1,19.0,90,11,0,0,0,0,0,9.0,1,50,False,0,2
