assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,4,0,13.2,0,0,1.5,1.4,7,17,0,0,0,0,0,0.0,1,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,42,False,0,2
0,0,10,0,0.5,1,0,2.1,20.2,90,11,0,0,0,0,0,0.0,2,42,True,0,2
0,0,23,1,1.6,0,0,1.1,9.2,90,3,0,0,0,0,0,0.0,6,42,True,0,2
0,0,5,0,0.0,0,0,0.8,8.2,8,15,0,0,0,0,0,0.0,1,42,False,0,2
0,0,16,0,15.8,1,0,4.3,23.6,90,16,0,0,0,0,0,4.0,2,42,True,0,2
0,0,14,0,1.0,3,0,2.8,26.8,90,11,0,0,0,0,0,0.0,1,42,False,0,2
0,0,14,0,3.1,1,0,3.9,34.4,90,4,0,0,0,0,0,1.0,2,42,True,0,2
0,0,13,0,10.6,1,0,3.4,23.8,90,6,0,0,0,0,0,0.0,1,42,False,1,2
0,0,23,1,0.9,0,0,2.0,18.6,90,12,0,0,0,0,0,0.0,6,42,True,0,2
0,0,12,0,14.4,2,0,3.4,19.4,90,2,0,0,0,0,0,0.0,1,42,False,0,2
0,0,10,0,0.3,2,0,1.8,18.0,90,10,0,0,0,0,0,0.0,1,42,False,0,2
0,0,22,1,0.4,0,0,2.2,21.2,90,14,0,0,0,0,0,0.0,6,42,True,0,2
