assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,-2,0,0.5,0,0,0.1,0.0,11,20,0,0,0,0,0,4.0,0,75,True,1,3
0,0,20,0,4.6,1,0,1.7,10.0,70,18,0,0,0,0,0,2.0,2,74,False,0,3
1,0,16,0,25.1,0,0,5.1,22.2,10,3,0,0,0,0,0,4.0,4,74,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,73,False,0,3
0,0,2,0,1.7,0,0,0.2,0.0,7,9,0,0,0,0,0,0.0,1,73,True,0,3
0,0,2,0,2.7,0,0,0.6,0.0,21,1,0,0,0,0,0,4.0,1,72,False,0,3
0,0,-1,0,0.3,0,0,0.8,0.0,6,7,0,0,0,0,0,11.0,1,72,False,0,3
1,0,27,1,43.7,0,0,9.4,28.4,67,8,0,0,0,0,0,22.0,6,71,True,0,3
1,3,41,1,30.8,0,1,11.1,56.4,70,11,0,0,0,0,0,24.0,13,71,True,1,3
0,0,7,1,15.6,0,0,2.3,3.2,77,13,0,0,0,0,0,4.0,3,71,False,0,3
2,2,53,1,38.8,0,1,17.2,77.4,70,6,0,0,0,0,0,56.0,16,71,True,0,3
0,0,5,1,13.6,0,0,6.1,2.2,79,12,0,0,0,0,0,45.0,3,72,False,0,3
0,0,19,0,2.1,1,1,4.4,31.2,82,17,0,0,0,0,0,11.0,7,72,True,0,3
0,0,2,0,10.4,1,0,1.5,0.0,49,10,0,0,0,0,0,6.0,1,73,False,0,3
0,0,3,1,5.8,0,0,0.8,0.0,62,19,0,0,0,0,0,3.0,3,73,True,0,3
0,0,7,1,13.8,0,0,3.6,1.6,75,15,0,0,0,0,0,21.0,2,73,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,72,False,0,3
1,3,41,1,12.2,0,1,9.9,39.2,90,2,0,0,0,0,0,48.0,13,70,True,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,70,True,0,3
0,0,11,0,9.5,2,0,3.8,7.4,90,17,0,0,0,0,0,21.0,1,69,False,1,3
0,2,32,1,9.3,0,1,7.1,37.0,83,8,0,0,0,0,0,25.0,10,69,False,0,3
0,0,8,1,15.8,0,0,3.5,7.2,70,7,0,0,0,0,0,12.0,3,70,True,0,3
0,0,2,0,11.8,0,0,1.4,0.0,19,9,0,0,0,0,0,3.0,1,70,False,0,3
0,0,21,1,59.4,0,0,9.8,16.0,83,1,0,0,0,0,0,23.0,3,70,True,0,3
0,3,27,0,35.5,1,1,10.0,37.0,86,3,0,0,0,0,0,27.0,10,69,False,0,3
1,2,43,0,16.1,1,1,9.8,52.2,75,16,0,0,0,0,0,30.0,12,70,True,0,3
1,0,21,1,19.4,0,0,6.7,24.6,64,20,0,0,0,0,0,23.0,6,71,False,0,3
0,0,16,0,38.3,1,0,11.0,15.0,90,14,0,0,0,0,0,57.0,2,71,False,0,3
0,0,24,0,62.3,2,0,13.8,33.0,90,5,0,0,0,0,0,43.0,2,72,True,0,3
0,0,14,0,19.4,1,0,4.3,14.4,90,10,0,0,0,0,0,9.0,2,72,True,0,3
0,0,10,0,44.3,1,0,6.9,9.0,87,2,0,0,0,0,0,16.0,1,71,False,1,3
0,0,1,0,2.7,2,0,2.7,0.0,90,11,0,0,0,0,0,29.0,2,70,False,0,3
1,0,13,0,12.8,1,0,3.2,16.6,14,13,0,0,0,0,0,3.0,4,69,True,0,3
0,2,32,1,20.4,0,1,7.2,42.4,81,6,0,0,0,0,0,9.0,10,69,False,0,3
0,0,10,1,18.9,0,0,2.5,0.0,80,12,0,0,0,0,0,7.0,3,68,True,0,3
0,0,14,1,34.2,0,0,6.4,2.2,75,19,0,0,0,0,0,28.0,3,68,False,0,3
0,0,4,0,0.3,0,0,0.2,0.4,7,18,0,0,0,0,0,1.0,1,68,True,0,3
1,1,35,0,45.8,0,1,13.7,52.8,20,15,0,0,0,0,0,38.0,10,68,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,80,True,0,3
1,0,13,0,14.3,1,0,3.1,16.2,12,17,0,0,0,0,0,0.0,4,79,False,0,3
0,0,8,1,20.1,0,0,4.1,1.0,74,7,0,0,0,0,0,20.0,3,79,True,0,3
0,0,6,0,24.8,1,0,4.6,4.8,62,9,0,0,0,0,0,16.0,2,79,False,0,3
0,0,-2,0,1.4,0,0,3.9,5.4,45,1,0,0,0,0,0,32.0,1,79,True,0,3
0,0,25,1,2.3,0,1,4.7,35.4,67,15,0,0,0,0,0,9.0,8,79,False,0,3
0,0,1,0,1.3,0,0,0.6,0.2,18,11,0,0,0,0,0,4.0,1,79,True,0,3
0,0,1,0,6.0,0,0,2.9,7.4,33,6,0,0,0,0,0,16.0,1,79,False,0,3
