assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
1,0,0,1,0,90,15,0,0,0,0,1,0,5,True,0
1,0,0,1,0,90,14,0,0,0,0,2,0,4,False,1
0,3,0,1,2,90,20,0,0,0,0,3,0,15,True,0
0,0,0,1,0,59,11,0,0,0,0,4,0,1,False,0
1,2,1,0,1,90,2,0,0,0,0,5,0,13,True,0
0,0,0,1,1,90,16,0,0,0,0,6,0,6,False,1
0,0,0,2,0,86,17,0,0,0,0,7,0,1,False,1
0,0,0,1,0,90,6,0,0,0,0,8,0,2,True,0
0,0,0,1,0,90,13,0,0,0,0,9,0,2,True,0
0,0,1,0,0,76,19,0,0,0,0,10,0,3,False,0
0,0,0,0,0,0,12,0,0,0,0,11,0,0,True,0
0,0,0,1,0,90,5,0,0,0,0,12,0,2,False,0
0,0,0,1,0,56,3,0,0,0,0,13,0,1,False,0
0,0,0,0,0,0,4,0,0,0,0,14,0,0,True,0
0,0,0,1,0,33,8,0,0,0,0,15,0,1,False,0
1,0,1,0,0,90,18,0,0,0,0,16,0,6,True,0
0,2,0,1,1,90,1,0,0,0,0,17,0,9,True,0
2,0,1,0,0,90,7,0,0,0,0,18,0,9,False,0
0,0,0,1,0,90,9,0,0,0,0,19,0,2,False,0
1,0,0,1,0,88,3,0,0,0,0,20,0,5,True,0
0,0,0,4,0,90,6,0,0,0,0,21,0,2,False,0
1,0,0,2,0,81,17,0,0,0,0,22,0,5,True,0
2,0,1,0,0,72,20,0,0,0,0,23,0,8,False,1
1,0,0,1,0,82,16,0,0,0,0,24,0,4,True,1
0,3,1,0,1,90,2,0,0,0,0,25,0,10,False,1
1,0,1,0,0,81,15,0,0,0,0,27,0,6,False,0
0,0,0,0,0,0,14,0,0,0,0,27,0,0,True,0
0,0,0,1,0,90,9,0,0,0,0,29,0,2,True,0
0,0,0,1,0,45,1,0,0,0,0,30,0,1,False,0
0,0,0,0,0,12,4,0,0,0,0,31,0,1,False,0
2,1,0,1,0,90,7,0,0,0,0,32,0,9,True,0
0,0,0,0,0,5,13,0,0,0,0,33,0,1,False,0
0,0,1,0,0,85,11,0,0,0,0,34,0,3,True,0
0,0,0,1,0,41,12,0,0,0,0,35,0,0,False,1
0,0,1,0,1,90,5,0,0,0,0,36,0,8,True,0
0,0,0,1,0,77,8,0,0,0,0,37,0,2,True,0
0,0,0,0,0,0,19,0,0,0,0,37,0,0,True,0
0,0,0,0,0,0,18,0,0,0,0,38,0,0,False,00,0,0,0,0,12,3,0,0,0,0,1,0,0,False,1
0,0,0,0,1,45,7,0,0,0,0,2,0,6,True,0
0,0,0,1,1,90,2,0,0,0,1,3,0,4,False,0
0,0,0,0,0,0,10,0,0,0,0,4,0,0,True,0
0,1,1,0,1,90,18,0,0,0,0,5,0,9,False,0
0,0,1,0,2,60,6,0,0,0,0,6,0,13,True,0
0,0,1,0,0,90,5,0,0,0,0,7,0,3,False,0
2,2,0,2,1,90,15,0,0,0,0,8,0,15,True,0
0,0,0,0,0,0,4,0,0,0,0,9,0,0,True,0
0,1,0,1,1,29,19,0,0,0,0,10,0,7,False,0
1,0,0,1,0,77,1,0,0,0,0,11,0,5,True,0
0,0,1,0,0,83,9,0,0,0,0,12,0,3,False,0
1,3,0,1,1,90,8,0,0,0,0,13,0,13,False,0
0,2,0,1,1,90,14,0,0,0,0,14,0,9,True,0
0,0,0,1,0,90,20,0,0,0,0,15,0,2,True,0
0,0,0,1,0,90,12,0,0,0,0,16,0,2,False,0
2,0,1,0,0,90,16,0,0,0,0,17,0,9,False,0
0,0,0,1,2,90,17,0,0,0,0,18,0,12,True,0
1,2,1,0,1,90,2,0,0,0,0,19,0,13,True,0
0,3,1,0,1,90,13,0,0,0,0,20,0,11,False,0
0,0,0,0,0,33,6,0,0,0,0,21,0,1,False,0
0,2,0,1,1,90,18,0,0,0,0,22,0,9,True,0
0,0,0,4,0,70,10,0,0,0,0,23,0,1,False,1
1,0,0,1,0,85,13,0,0,0,0,24,0,5,True,0
2,1,1,0,0,90,19,0,0,0,0,25,0,10,True,0
0,0,1,0,0,73,4,0,0,0,0,26,0,3,False,0
0,1,0,1,1,90,9,0,0,0,0,27,0,8,True,0
0,0,0,0,0,0,1,0,0,0,0,28,0,0,False,0
0,0,0,0,0,0,5,0,0,0,0,29,0,0,True,0
1,0,1,0,0,84,15,0,0,0,0,30,0,6,False,0
0,0,0,1,1,63,7,0,0,0,0,32,0,7,False,0
1,0,0,3,0,90,12,0,0,0,0,33,0,4,True,1
1,0,0,1,1,90,17,0,0,0,0,34,0,10,False,0
1,0,1,0,1,70,16,0,0,0,0,35,0,11,True,0
3,1,0,1,0,90,20,0,0,0,0,36,0,12,False,0
0,0,1,0,0,90,8,0,0,0,0,37,0,3,True,0
0,0,0,0,0,0,3,0,0,0,0,37,0,0,True,0
0,0,1,0,0,90,14,0,0,0,0,38,0,3,False,00,0,1,0,1,86,1,0,0,0,0,1,0,7,False,1
0,0,0,0,0,0,10,0,0,0,0,2,0,0,True,0
0,0,0,1,0,84,20,0,0,0,0,3,0,2,False,0
0,3,0,1,1,90,15,0,0,0,0,4,0,10,True,0
0,0,1,0,1,73,9,0,0,0,0,5,0,8,True,0
1,0,1,0,0,90,5,0,0,0,0,6,0,6,False,0
1,3,1,0,1,90,3,0,0,0,0,7,0,14,True,0
0,0,1,0,0,75,12,0,0,0,0,8,0,3,False,0
0,0,0,0,0,0,4,0,0,0,0,9,0,0,True,0
1,0,1,0,0,90,17,0,0,0,0,10,0,6,False,0
2,3,0,1,2,90,16,0,0,0,0,11,0,21,True,0
0,0,0,1,0,90,14,0,0,0,0,12,0,2,True,0
2,2,1,0,1,73,19,0,0,0,0,13,0,16,False,0
0,2,0,1,1,90,2,0,0,0,0,14,0,9,True,0
0,0,0,0,0,0,18,0,0,0,0,15,0,0,False,0
0,0,0,2,0,90,6,0,0,0,0,16,0,2,False,0
0,0,0,0,1,24,8,0,0,0,0,17,0,6,True,0
