assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,50,False,0,2
0,0,3,0,0.0,0,0,0.0,0.0,1,13,0,0,0,0,0,0.0,1,50,True,0,2
0,0,7,0,1.3,2,0,2.5,15.2,27,5,0,0,0,0,0,8.0,0,50,False,0,2
0,0,3,0,0.0,0,0,0.0,0.0,1,18,0,0,0,0,0,0.0,1,50,False,0,2
0,0,23,1,3.5,0,0,1.3,9.6,90,7,0,0,0,0,0,0.0,6,50,True,0,2
0,0,6,0,4.6,0,0,1.1,6.2,31,11,0,0,0,0,0,0.0,1,50,False,0,2
0,0,22,0,10.8,1,0,3.1,16.8,90,19,0,0,0,0,0,3.0,2,50,True,0,2
1,1,26,0,32.8,1,0,7.0,33.4,90,2,0,0,0,0,0,4.0,6,50,True,0,2
0,0,19,0,21.2,2,0,3.5,9.6,81,8,0,0,0,0,0,4.0,1,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,50,True,0,2
0,0,3,0,1.7,0,0,2.0,0.4,10,17,0,0,0,0,0,18.0,1,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,50,False,0,2
0,0,21,0,16.2,1,0,5.7,23.2,90,4,0,0,0,0,0,18.0,1,50,False,1,2
1,2,35,1,46.9,0,0,11.1,36.0,90,5,0,0,0,0,0,28.0,11,50,True,0,2
0,2,32,1,36.1,0,0,6.1,24.4,74,13,0,0,0,0,0,0.0,8,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,50,True,0,2
0,0,16,0,1.5,2,0,1.9,15.8,90,9,0,0,0,0,0,2.0,1,50,False,0,2
0,0,8,0,16.7,2,0,4.4,4.2,90,12,0,0,0,0,0,23.0,1,50,True,0,2
0,0,11,0,27.9,1,0,5.1,13.8,90,17,0,0,0,0,0,9.0,2,50,True,0,2
0,0,19,0,59.3,2,0,9.0,23.0,90,3,0,0,0,0,0,8.0,1,50,False,0,2
0,0,3,0,0.3,0,0,1.1,10.4,30,8,0,0,0,0,0,0.0,1,50,True,0,2
