assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,0,23,0,24.3,2,0,5.8,17.6,90,14,0,0,0,0,0,16.0,4,50,False,0,2
1,3,37,1,12.8,0,0,6.9,42.2,90,20,0,0,0,0,0,14.0,12,50,True,0,2
0,0,17,0,4.8,1,0,4.3,15.6,90,16,0,0,0,0,0,23.0,2,51,False,0,2
0,0,15,0,7.3,2,0,2.3,13.8,90,12,0,0,0,0,0,2.0,1,51,True,0,2
1,0,18,0,26.2,4,0,5.4,21.8,90,2,0,0,0,0,0,6.0,3,51,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,51,True,0,2
0,0,19,1,4.8,0,0,4.3,21.6,90,15,0,0,0,0,0,17.0,6,51,False,0,2
0,0,23,0,17.2,2,1,8.3,46.6,85,8,0,0,0,0,0,19.0,7,51,True,0,2
0,0,6,0,1.8,3,0,1.0,2.6,68,1,0,0,0,0,0,6.0,0,51,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,51,True,0,2
0,0,20,1,0.9,0,0,4.2,18.2,90,5,0,0,0,0,0,23.0,5,50,False,1,2
0,3,27,1,20.6,0,0,4.4,16.2,90,4,0,0,0,0,0,7.0,9,50,True,0,2
0,0,3,0,11.3,1,0,2.7,15.4,90,3,0,0,0,0,0,0.0,2,50,False,0,2
0,3,32,1,15.3,0,0,6.1,42.0,90,18,0,0,0,0,0,4.0,9,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,51,False,0,2
0,0,14,0,1.8,2,0,2.5,19.2,90,17,0,0,0,0,0,4.0,1,51,True,0,2
0,0,5,0,3.0,1,0,2.2,16.8,90,7,0,0,0,0,0,2.0,1,51,False,1,2
0,1,27,1,2.4,0,0,5.3,42.4,90,6,0,0,0,0,0,8.0,7,51,False,0,2
0,1,27,0,1.3,1,1,7.6,55.4,90,13,0,0,0,0,0,19.0,9,51,True,0,2
0,0,10,0,27.9,1,0,12.0,36.8,90,5,0,0,0,0,0,55.0,2,52,True,0,2
1,3,37,1,20.8,0,0,8.2,38.4,90,8,0,0,0,0,0,23.0,12,52,False,0,2
1,0,21,0,42.7,2,0,9.0,35.4,90,16,0,0,0,0,0,12.0,4,53,True,0,2
0,0,9,0,48.6,4,0,9.7,22.4,90,20,0,0,0,0,0,26.0,-1,53,False,1,2
0,0,13,0,5.5,1,0,2.8,22.8,90,12,0,0,0,0,0,0.0,1,53,False,1,2
0,0,14,0,12.1,1,0,3.3,13.8,90,14,0,0,0,0,0,7.0,2,53,True,0,2
1,0,33,0,52.3,3,0,10.3,42.8,90,17,0,0,0,0,0,8.0,4,53,False,0,2
0,0,14,0,16.0,4,0,4.0,20.0,90,7,0,0,0,0,0,4.0,0,54,True,0,2
0,0,15,0,3.1,1,0,2.9,22.8,90,3,0,0,0,0,0,3.0,2,54,True,0,2
0,0,5,0,19.4,2,0,3.8,13.0,90,18,0,0,0,0,0,6.0,0,54,False,1,2
0,0,19,0,24.4,1,0,4.5,16.2,90,9,0,0,0,0,0,4.0,2,54,True,0,2
0,0,10,0,2.4,1,0,3.3,10.8,90,4,0,0,0,0,0,20.0,2,54,False,0,2
0,2,36,1,25.4,0,0,8.0,19.6,90,2,0,0,0,0,0,35.0,8,54,True,0,2
1,1,31,0,25.3,1,0,6.3,37.2,90,10,0,0,0,0,0,0.0,6,54,False,0,2
0,0,18,0,9.9,1,0,3.2,20.2,90,15,0,0,0,0,0,2.0,2,54,True,0,2
0,0,12,0,4.6,2,0,3.3,24.2,90,19,0,0,0,0,0,4.0,1,54,False,0,2
1,2,35,1,17.1,0,0,8.2,33.8,90,1,0,0,0,0,0,31.0,10,54,True,1,2
0,0,13,0,1.7,1,0,5.1,29.2,90,13,0,0,0,0,0,20.0,2,53,False,0,2
0,3,35,1,2.6,0,0,2.5,22.2,90,6,0,0,0,0,0,0.0,9,53,True,0,2
0,3,32,1,26.2,0,0,5.9,23.4,90,20,0,0,0,0,0,9.0,9,60,True,0,2
0,0,11,0,7.2,1,0,4.2,32.2,90,6,0,0,0,0,0,3.0,2,60,False,0,2
0,0,14,0,3.3,1,0,2.3,19.4,90,15,0,0,0,0,0,0.0,2,60,False,0,2
0,0,15,0,13.7,1,0,4.8,32.6,90,3,0,0,0,0,0,2.0,2,60,True,0,2
0,0,6,0,2.9,1,0,1.8,11.2,90,12,0,0,0,0,0,4.0,2,60,False,0,2
0,1,25,0,12.3,1,1,8.8,51.8,90,17,0,0,0,0,0,24.0,9,60,True,0,2
0,1,35,1,18.4,0,1,7.5,47.6,90,13,0,0,0,0,0,9.0,13,60,True,0,2
0,0,16,0,3.3,2,0,2.8,24.6,90,10,0,0,0,0,0,0.0,1,61,False,0,2
0,0,24,0,67.7,1,0,12.2,38.4,90,5,0,0,0,0,0,16.0,2,62,True,0,2
0,0,22,1,7.4,0,0,3.6,24.8,90,16,0,0,0,0,0,4.0,6,62,False,0,2
0,0,21,1,2.2,0,0,2.4,17.4,90,7,0,0,0,0,0,4.0,6,63,False,0,2
0,1,28,1,16.8,0,0,5.7,30.2,90,1,0,0,0,0,0,10.0,7,63,True,0,2
0,1,32,1,5.1,0,0,2.8,22.4,90,4,0,0,0,0,0,0.0,7,64,False,0,2
1,2,27,0,29.7,1,0,8.9,36.2,90,8,0,0,0,0,0,23.0,7,64,True,0,2
0,1,32,1,15.9,0,0,4.2,22.4,90,18,0,0,0,0,0,4.0,7,64,True,0,2
0,0,7,0,28.6,1,0,8.5,30.2,90,2,0,0,0,0,0,26.0,1,65,False,1,2
0,0,14,0,9.5,1,0,3.5,20.8,90,14,0,0,0,0,0,5.0,2,65,True,0,2
0,0,3,0,0.7,3,0,0.3,2.6,90,11,0,0,0,0,0,0.0,1,65,False,0,2
0,0,21,0,1.6,4,0,3.4,28.6,90,10,0,0,0,0,0,4.0,0,65,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,65,False,0,2
0,0,27,1,9.8,0,0,2.7,17.6,90,13,0,0,0,0,0,0.0,6,64,False,0,2
0,0,22,0,1.8,2,0,2.3,21.4,90,16,0,0,0,0,0,0.0,1,64,True,0,2
0,0,19,0,28.3,2,0,6.8,27.6,90,5,0,0,0,0,0,12.0,1,64,False,0,2
1,1,39,0,35.1,1,1,14.6,69.8,90,19,0,0,0,0,0,41.0,12,63,True,0,2
0,0,5,0,2.5,2,0,2.3,10.6,90,6,0,0,0,0,0,10.0,1,63,True,0,2
0,0,23,1,19.7,0,0,4.2,16.2,90,20,0,0,0,0,0,6.0,6,63,False,0,2
0,0,13,0,25.8,1,0,6.6,27.0,90,11,0,0,0,0,0,13.0,2,63,True,0,2
0,0,9,0,18.7,1,0,4.2,17.0,90,14,0,0,0,0,0,6.0,2,63,False,0,2
