assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,0,11,0,1.2,2,0,1.1,0.0,41,10,0,0,0,0,0,11.0,4,60,True,0,3
0,3,31,1,43.3,0,1,19.3,43.4,79,2,0,0,0,0,0,106.0,11,60,False,0,3
0,0,10,1,16.8,0,0,6.0,14.0,90,3,0,0,0,0,0,29.0,3,60,True,0,3
0,0,10,1,13.0,0,0,7.4,23.2,90,14,0,0,0,0,0,38.0,3,60,False,0,3
0,0,2,0,11.8,6,0,3.0,2.8,90,11,0,0,0,0,0,15.0,2,60,True,0,3
0,1,24,0,11.4,1,1,9.4,48.6,90,16,0,0,0,0,0,34.0,7,60,False,1,3
1,0,30,0,24.6,2,1,14.7,55.6,90,19,0,0,0,0,0,67.0,10,61,False,0,3
1,0,11,0,17.8,1,0,4.2,1.4,90,1,0,0,0,0,0,23.0,5,62,True,0,3
1,0,9,0,13.5,4,0,11.0,16.4,90,5,0,0,0,0,0,80.0,5,62,False,0,3
0,0,-10,0,11.8,1,0,5.1,0.0,90,15,0,0,0,0,0,43.0,1,64,True,1,3
0,0,19,0,13.3,3,1,12.2,42.0,90,7,0,0,0,0,0,67.0,7,64,False,0,3
0,0,27,1,4.9,0,1,9.2,39.0,90,20,0,0,0,0,0,48.0,8,65,True,0,3
1,0,20,1,25.9,0,0,8.3,31.0,78,13,0,0,0,0,0,26.0,6,65,False,0,3
0,0,4,0,6.0,4,0,7.1,2.4,90,12,0,0,0,0,0,63.0,2,66,True,0,3
0,0,-4,0,3.7,1,0,5.7,5.4,90,17,0,0,0,0,0,48.0,1,66,True,1,3
0,0,-1,0,16.0,1,0,2.6,0.0,90,4,0,0,0,0,0,11.0,2,66,False,0,3
1,0,11,1,14.8,0,0,10.3,38.2,83,6,0,0,0,0,0,50.0,6,66,False,0,3
0,0,-1,0,16.1,4,0,4.8,2.8,90,8,0,0,0,0,0,29.0,2,66,True,0,3
0,0,5,0,11.6,1,0,8.1,12.2,90,3,0,0,0,0,0,57.0,2,66,False,0,3
1,0,8,0,23.0,1,0,6.7,8.4,90,9,0,0,0,0,0,36.0,5,65,True,0,3
1,0,15,0,20.0,2,0,7.4,12.0,90,16,0,0,0,0,0,42.0,5,65,True,0,3
0,0,8,0,1.8,3,0,0.8,5.8,81,11,0,0,0,0,0,0.0,2,65,False,0,3
0,0,8,0,2.9,2,0,3.2,4.6,90,14,0,0,0,0,0,24.0,2,64,True,0,3
0,0,11,0,2.8,2,0,3.0,13.4,90,9,0,0,0,0,0,14.0,2,63,False,0,3
0,0,3,1,11.3,0,0,4.2,4.6,67,15,0,0,0,0,0,26.0,3,63,False,0,3
0,0,0,1,1.3,0,0,5.1,1.2,64,5,0,0,0,0,0,48.0,2,62,True,1,3
0,0,7,0,3.0,2,0,2.6,7.8,81,20,0,0,0,0,0,15.0,2,62,False,0,3
0,0,1,0,1.7,0,0,1.3,7.4,55,7,0,0,0,0,0,4.0,1,61,True,0,3
0,0,1,0,2.8,0,0,1.7,0.2,53,19,0,0,0,0,0,14.0,1,61,True,0,3
0,0,5,0,21.0,3,0,7.1,12.0,90,1,0,0,0,0,0,38.0,2,60,False,0,3
0,0,11,0,1.3,3,0,3.6,15.6,64,10,0,0,0,0,0,19.0,2,60,False,0,3
