assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,3,0,15.3,0,0,3.0,6.2,36,18,0,0,0,0,0,8.0,1,55,False,0,3
0,2,25,0,4.6,1,1,5.2,40.2,64,4,0,0,0,0,0,7.0,9,55,True,0,3
1,2,21,0,30.4,1,0,7.0,19.4,88,7,0,0,0,0,0,20.0,7,55,False,0,3
1,0,19,0,8.8,1,0,1.1,2.2,65,16,0,0,0,0,0,0.0,5,55,False,0,3
0,0,2,0,1.1,0,0,0.4,0.0,18,9,0,0,0,0,0,3.0,1,55,False,0,3
0,0,8,0,32.6,0,0,6.9,11.8,17,15,0,0,0,0,0,25.0,1,55,False,0,3
0,0,4,0,0.7,1,0,0.2,1.6,17,17,0,0,0,0,0,0.0,1,55,True,0,3
0,0,5,0,1.5,0,0,1.2,2.2,34,14,0,0,0,0,0,8.0,1,55,True,0,3
0,0,7,1,34.4,0,0,5.7,10.6,90,12,0,0,0,0,0,12.0,3,55,False,0,3
0,0,9,0,40.0,3,0,6.9,14.2,90,6,0,0,0,0,0,15.0,2,55,False,0,3
0,0,18,0,55.7,2,0,8.9,19.2,90,11,0,0,0,0,0,14.0,2,55,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,55,False,0,3
1,0,16,0,10.1,0,0,2.8,18.2,8,19,0,0,0,0,0,0.0,4,55,True,0,3
0,0,3,0,15.1,1,0,2.3,5.4,36,2,0,0,0,0,0,2.0,0,55,False,1,3
0,0,3,0,2.7,1,0,0.0,0.0,66,20,0,0,0,0,0,2.0,2,55,True,0,3
0,0,4,0,52.1,2,0,8.1,12.0,90,5,0,0,0,0,0,17.0,1,55,False,1,3
0,0,14,0,34.3,1,0,5.3,7.6,77,19,0,0,0,0,0,11.0,2,55,True,0,3
1,3,30,0,77.9,1,0,14.4,44.6,90,17,0,0,0,0,0,21.0,8,55,False,0,3
0,0,3,1,2.0,0,0,1.0,7.8,90,6,0,0,0,0,0,0.0,2,55,True,1,3
1,1,25,0,46.3,1,0,7.9,25.2,90,10,0,0,0,0,0,7.0,6,55,False,0,3
0,0,9,1,11.3,0,0,3.4,16.0,90,8,0,0,0,0,0,7.0,3,55,True,0,3
0,0,10,1,6.2,0,0,3.5,7.0,90,7,0,0,0,0,0,22.0,3,55,False,0,3
0,0,9,0,44.5,1,0,7.0,13.2,90,20,0,0,0,0,0,12.0,2,55,True,0,3
0,0,6,0,19.3,3,0,2.7,5.8,90,11,0,0,0,0,0,2.0,2,55,False,0,3
0,0,12,1,43.0,0,0,7.5,10.6,90,13,0,0,0,0,0,21.0,3,55,True,0,3
0,0,14,1,9.4,0,0,4.1,11.8,90,14,0,0,0,0,0,20.0,3,55,False,0,3
1,0,13,1,44.3,0,0,8.6,31.6,90,16,0,0,0,0,0,10.0,6,55,True,0,3
