assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,90,True,0,4
0,0,0,0,24.7,0,0,7.8,14.8,53,19,0,0,0,0,0,38.0,1,90,False,0,4
0,0,1,1,34.7,0,0,11.7,11.4,90,14,0,0,0,0,0,71.0,2,90,True,0,4
0,3,74,1,12.3,0,3,25.3,104.0,88,15,0,0,0,0,0,137.0,17,90,False,0,4
1,3,38,0,24.3,1,1,11.7,54.0,65,12,0,0,0,0,0,39.0,12,92,True,0,4
0,0,7,0,24.5,1,0,6.1,7.6,90,2,0,0,0,0,0,29.0,2,93,False,0,4
0,2,26,0,28.2,1,1,12.3,44.8,90,5,0,0,0,0,0,50.0,8,93,True,0,4
0,2,27,0,2.8,1,1,6.3,39.8,90,10,0,0,0,0,0,20.0,8,94,False,0,4
1,0,22,0,56.4,2,0,11.2,32.6,90,3,0,0,0,0,0,23.0,5,96,False,0,4
1,3,51,1,33.2,0,1,16.7,60.6,90,20,0,0,0,0,0,73.0,12,97,True,0,4
0,0,2,0,8.6,5,0,1.4,3.8,90,4,0,0,0,0,0,2.0,2,98,False,0,4
0,0,6,0,17.0,1,0,7.5,6.6,90,16,0,0,0,0,0,51.0,2,99,True,0,4
0,0,-1,0,14.4,1,0,2.2,0.4,90,13,0,0,0,0,0,7.0,1,98,False,1,4
0,0,6,0,13.9,1,0,2.7,9.2,90,11,0,0,0,0,0,4.0,1,95,True,1,4
0,2,47,0,1.2,3,2,12.4,66.6,90,18,0,0,0,0,0,56.0,12,94,False,0,4
0,0,10,0,13.3,1,0,5.4,9.8,90,1,0,0,0,0,0,31.0,2,94,True,0,4
0,0,2,0,5.3,1,0,1.3,0.0,90,9,0,0,0,0,0,8.0,2,94,True,0,4
0,2,34,1,28.3,0,1,9.2,40.8,90,8,0,0,0,0,0,23.0,8,94,False,0,4
0,0,7,0,27.3,2,0,9.7,8.8,90,7,0,0,0,0,0,61.0,2,94,False,0,4
1,2,39,1,24.5,0,1,14.5,56.6,90,13,0,0,0,0,0,64.0,11,95,True,0,4
