assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,14,0,0.0,2,0,2.2,21.8,90,8,0,0,0,0,3,0.0,2,45,True,0,1
0,0,10,0,0.0,2,0,1.1,11.4,90,11,0,0,0,0,1,0.0,1,45,False,0,1
0,0,18,0,0.0,1,0,3.2,32.4,90,13,0,0,0,0,5,0.0,3,45,True,0,1
0,0,26,1,0.0,0,0,2.4,23.8,90,19,0,0,0,0,3,0.0,7,45,False,0,1
0,0,23,1,0.0,0,0,1.3,13.4,90,4,0,0,0,0,2,0.0,6,45,True,0,1
0,0,19,0,0.0,1,0,3.0,30.0,90,14,0,0,0,0,5,0.0,3,45,False,0,1
0,2,34,1,0.0,0,0,3.8,38.0,90,16,0,0,0,0,6,0.0,10,45,True,0,1
0,2,27,1,0.0,0,0,2.3,22.6,90,7,0,0,0,0,4,0.0,9,45,False,0,1
0,0,9,0,0.0,2,0,0.9,9.0,90,18,0,0,0,0,1,0.0,1,46,True,0,1
0,0,8,0,0.0,1,0,0.1,1.2,90,3,0,0,0,0,0,0.0,2,46,False,0,1
0,0,19,0,0.0,3,0,3.0,30.4,90,17,0,0,0,0,5,0.0,2,46,True,0,1
0,0,13,0,0.0,1,0,1.4,13.6,90,1,0,0,0,0,2,0.0,2,46,False,0,1
0,0,17,0,0.0,2,0,3.1,31.4,90,10,0,0,0,0,4,0.0,2,46,True,0,1
0,0,7,0,0.0,2,0,0.3,3.2,90,5,0,0,0,0,0,0.0,1,46,False,0,1
0,0,12,0,0.0,1,0,1.4,14.4,90,6,0,0,0,0,2,0.0,2,46,True,0,1
0,0,14,0,0.0,1,0,2.3,22.6,90,15,0,0,0,0,3,0.0,3,46,False,0,1
0,0,25,1,0.0,0,0,1.8,17.6,90,2,0,0,0,0,3,0.0,7,46,True,0,1
0,0,19,0,0.0,2,0,3.1,31.0,90,12,0,0,0,0,5,0.0,2,46,True,0,1
0,0,15,0,0.0,1,0,2.3,23.4,90,9,0,0,0,0,3,0.0,3,46,False,0,1
0,0,12,0,0.0,1,0,0.9,8.8,90,17,0,0,0,0,2,0.0,2,46,False,0,1
0,0,12,0,0.0,2,0,1.0,10.4,90,7,0,0,0,0,2,0.0,1,45,True,0,1
0,0,23,0,0.0,3,0,4.7,47.4,90,13,0,0,0,0,7,0.0,3,45,False,0,1
0,0,14,0,0.0,3,0,2.8,28.4,90,11,0,0,0,0,4,0.0,2,45,True,0,1
0,0,19,1,0.0,0,0,0.2,2.4,90,19,0,0,0,0,0,0.0,6,45,True,0,1
0,0,14,0,0.0,1,0,2.7,26.8,90,8,0,0,0,0,3,0.0,3,45,False,0,1
0,0,10,0,0.0,1,0,1.4,14.2,90,15,0,0,0,0,2,0.0,2,45,True,0,1
0,0,12,0,0.0,1,0,1.6,16.4,90,2,0,0,0,0,2,0.0,2,45,False,0,1
0,0,12,0,0.0,1,0,1.9,19.4,90,10,0,0,0,0,2,0.0,2,45,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,45,True,0,1
0,0,17,0,0.0,1,0,3.5,35.0,90,6,0,0,0,0,5,0.0,3,45,False,0,1
0,0,7,0,0.0,2,0,0.2,2.0,90,4,0,0,0,0,0,0.0,1,45,False,0,1
0,0,14,0,0.0,1,0,2.9,28.8,90,14,0,0,0,0,3,0.0,3,45,True,0,1
0,0,13,0,0.0,3,0,2.2,21.6,90,16,0,0,0,0,3,0.0,2,45,False,0,1
0,0,19,1,0.0,0,0,0.2,2.0,90,3,0,0,0,0,0,0.0,6,45,True,0,1
0,0,9,0,0.0,1,0,0.2,2.4,90,1,0,0,0,0,0,0.0,2,45,True,0,1
0,0,7,0,0.0,1,0,0.5,5.2,90,18,0,0,0,0,0,0.0,2,45,False,0,1
0,0,24,1,0.0,0,0,1.3,13.2,90,9,0,0,0,0,2,0.0,6,45,True,0,1
0,0,14,0,0.0,2,0,1.9,19.4,90,12,0,0,0,0,3,0.0,2,45,False,0,1
0,0,23,1,0.0,0,0,0.8,7.6,90,9,0,0,0,0,1,0.0,6,50,False,0,1
0,2,25,0,0.0,1,0,3.0,29.8,90,12,0,0,1,0,1,0.0,9,50,True,0,1
0,0,16,0,0.0,1,0,2.3,23.0,90,5,0,0,0,0,3,0.0,3,50,True,0,1
