assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,18,0,25.4,2,0,5.1,26.0,90,8,0,0,0,0,0,0.0,1,40,True,0,2
0,0,9,0,1.6,2,0,1.8,16.8,90,11,0,0,0,0,0,0.0,1,40,False,0,2
0,0,9,0,0.2,1,0,1.5,15.0,90,13,0,0,0,0,0,0.0,2,40,True,0,2
0,0,26,1,0.6,0,0,1.6,15.8,90,19,0,0,0,0,0,0.0,5,40,False,1,2
0,0,26,1,11.8,0,0,3.0,18.4,90,4,0,0,0,0,0,0.0,6,41,True,0,2
0,0,11,0,0.3,1,0,2.7,22.4,90,14,0,0,0,0,0,4.0,2,41,False,0,2
0,0,20,1,0.5,0,0,4.0,22.2,90,16,0,0,0,0,0,17.0,6,41,True,0,2
0,1,24,1,0.1,0,0,1.2,11.8,90,7,0,0,0,0,0,0.0,7,41,False,0,2
0,0,7,0,11.4,2,0,5.1,15.2,90,18,0,0,0,0,0,24.0,0,42,True,1,2
0,0,9,0,2.3,1,0,3.9,13.6,90,3,0,0,0,0,0,23.0,2,42,False,0,2
0,0,8,0,1.8,3,0,1.4,10.6,90,17,0,0,0,0,0,2.0,0,42,True,1,2
0,0,15,0,10.3,1,0,4.8,35.8,90,1,0,0,0,0,0,2.0,2,42,False,0,2
0,0,10,0,11.5,2,0,2.7,8.4,90,10,0,0,0,0,0,7.0,1,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,42,False,0,2
0,0,9,0,0.5,1,0,2.4,23.0,90,6,0,0,0,0,0,0.0,2,42,True,0,2
0,0,4,0,2.7,1,0,2.1,11.8,90,15,0,0,0,0,0,6.0,1,42,False,1,2
0,0,21,1,0.1,0,0,1.4,13.6,90,2,0,0,0,0,0,0.0,6,42,True,0,2
0,0,15,0,21.3,2,0,4.2,16.6,90,12,0,0,0,0,0,4.0,1,42,True,0,2
0,0,15,0,2.1,1,0,1.2,8.6,90,9,0,0,0,0,0,1.0,2,42,False,0,2
0,0,9,0,1.1,1,0,1.3,7.4,90,17,0,0,0,0,0,4.0,2,41,False,0,2
0,0,8,0,1.3,2,0,1.6,15.0,90,7,0,0,0,0,0,0.0,0,41,True,1,2
0,0,6,0,10.0,3,0,2.0,10.0,90,13,0,0,0,0,0,0.0,1,41,False,0,2
0,0,23,0,0.1,3,1,6.5,48.2,90,11,0,0,0,0,0,17.0,6,41,True,1,2
0,0,19,1,1.0,0,0,0.6,5.0,90,19,0,0,0,0,0,0.0,5,41,True,1,2
0,0,13,0,0.2,1,0,1.9,18.4,90,8,0,0,0,0,0,0.0,2,41,False,0,2
0,0,15,0,1.8,1,0,3.5,16.2,90,15,0,0,0,0,0,17.0,2,41,True,0,2
0,0,9,0,1.3,1,0,1.7,15.8,90,2,0,0,0,0,0,0.0,1,42,False,1,2
0,0,5,0,0.9,1,0,0.7,6.4,90,10,0,0,0,0,0,0.0,1,42,False,1,2
0,0,20,1,0.3,0,0,1.9,18.8,90,5,0,0,0,0,0,0.0,5,42,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,41,False,0,2
0,0,12,0,0.8,1,0,2.1,20.2,90,14,0,0,0,0,0,0.0,2,41,True,0,2
