assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,9,0,17.2,1,0,2.1,0.2,85,20,0,0,0,0,0,4.0,2,50,False,0,3
0,0,6,1,12.3,0,0,2.1,2.8,87,5,0,0,0,0,0,6.0,3,50,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,50,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,49,True,0,3
0,0,3,0,1.3,0,0,0.3,0.0,3,17,0,0,0,0,0,2.0,1,49,True,0,3
0,0,3,0,3.5,0,0,1.1,1.8,31,12,0,0,0,0,0,6.0,1,49,False,0,3
0,0,3,0,16.0,0,0,1.9,2.6,9,15,0,0,0,0,0,0.0,1,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,49,False,0,3
2,3,42,0,16.4,1,1,10.9,58.8,36,9,0,0,0,0,0,34.0,15,49,True,0,3
0,0,13,0,15.9,3,0,3.5,5.0,80,3,0,0,0,0,0,14.0,2,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,49,True,0,3
0,0,1,0,6.3,1,0,1.8,3.2,36,13,0,0,0,0,0,8.0,1,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,48,False,0,3
0,0,22,1,4.8,0,1,6.9,29.6,72,16,0,0,0,0,0,35.0,8,48,False,0,3
1,2,38,1,16.8,0,1,7.9,39.0,67,1,0,0,0,0,0,23.0,13,48,True,0,3
1,0,16,0,19.8,2,0,3.1,9.0,54,7,0,0,0,0,0,2.0,4,48,False,0,3
0,0,9,0,29.8,2,0,7.8,10.2,80,18,0,0,0,0,0,38.0,2,48,True,0,3
0,0,11,0,31.0,2,0,4.8,11.0,90,5,0,0,0,0,0,6.0,2,49,True,0,3
1,0,26,0,47.3,6,0,7.6,26.2,90,6,0,0,0,0,0,2.0,5,49,False,0,3
0,0,-4,0,2.7,2,0,1.1,0.6,90,10,0,0,0,0,0,8.0,1,48,True,1,3
1,3,27,0,63.3,2,0,8.5,16.0,90,19,0,0,0,0,0,6.0,8,48,False,0,3
0,0,8,0,15.8,1,0,3.0,11.8,90,11,0,0,0,0,0,2.0,2,48,False,0,3
0,0,13,0,56.4,2,0,9.5,18.4,84,20,0,0,0,0,0,20.0,2,48,True,0,3
0,0,10,1,20.4,0,0,3.7,6.0,74,16,0,0,0,0,0,11.0,3,48,True,0,3
0,0,10,1,26.8,0,0,4.2,8.8,90,13,0,0,0,0,0,6.0,3,48,False,0,3
0,0,-2,0,0.5,0,0,0.2,0.0,30,9,0,0,0,0,0,2.0,0,48,False,1,3
0,0,9,0,4.1,3,0,1.9,3.2,83,4,0,0,0,0,0,12.0,2,47,True,0,3
