assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,2,44,0,27.8,2,1,10.4,60.6,90,8,0,0,0,0,0,16.0,12,50,True,0,3
0,0,11,0,4.2,2,0,2.4,12.2,90,11,0,0,0,0,0,8.0,2,51,False,0,3
0,0,9,0,11.0,1,0,5.1,28.8,90,13,0,0,0,0,0,11.0,2,51,True,0,3
0,0,11,1,2.8,0,0,2.1,9.4,90,19,0,0,0,0,0,9.0,3,52,False,0,3
0,0,5,1,61.0,0,0,9.4,16.4,90,4,0,0,0,0,0,17.0,2,52,True,1,3
0,0,13,0,24.1,1,0,5.1,20.2,90,14,0,0,0,0,0,7.0,1,52,False,1,3
0,0,18,1,29.9,0,0,6.4,25.0,90,16,0,0,0,0,0,9.0,3,52,True,0,3
0,0,13,1,11.7,0,0,2.8,15.2,90,7,0,0,0,0,0,1.0,3,52,False,0,3
0,0,6,0,7.7,2,0,2.3,12.8,90,18,0,0,0,0,0,2.0,1,51,True,1,3
0,0,14,0,10.0,1,0,7.2,21.6,90,3,0,0,0,0,0,40.0,2,51,False,0,3
0,0,25,0,2.9,3,1,8.0,42.2,90,17,0,0,0,0,0,35.0,7,50,True,0,3
0,0,14,0,3.7,1,0,2.1,8.0,90,1,0,0,0,0,0,9.0,2,50,False,0,3
0,0,10,0,11.7,2,0,3.6,14.8,90,10,0,0,0,0,0,9.0,1,50,True,1,3
0,0,3,0,1.2,2,0,2.6,6.8,90,5,0,0,0,0,0,18.0,1,50,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,50,True,0,3
0,1,20,0,12.9,1,0,5.3,25.2,90,15,0,0,0,0,0,15.0,3,50,False,0,3
0,0,11,1,0.9,0,0,2.8,19.0,90,2,0,0,0,0,0,8.0,3,50,True,0,3
0,0,10,0,5.1,2,0,3.2,18.0,90,12,0,0,0,0,0,9.0,2,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,50,False,0,3
0,0,13,0,15.8,1,0,2.9,12.0,90,17,0,0,0,0,0,1.0,2,49,False,0,3
0,0,5,0,0.8,2,0,1.9,11.2,17,7,0,0,0,0,0,7.0,1,49,True,0,3
0,0,9,0,0.5,3,0,2.3,14.6,90,13,0,0,0,0,0,8.0,2,49,False,0,3
1,1,29,0,27.3,3,0,7.9,35.6,90,11,0,0,0,0,0,16.0,6,49,True,0,3
0,0,10,1,5.1,0,0,5.6,18.8,90,19,0,0,0,0,0,32.0,2,49,True,1,3
0,0,20,0,0.3,1,1,5.0,33.0,48,8,0,0,0,0,0,17.0,6,49,False,0,3
0,0,15,0,22.0,1,0,3.9,15.6,90,15,0,0,0,0,0,1.0,2,49,True,0,3
0,0,8,0,11.2,1,0,3.1,10.4,90,2,0,0,0,0,0,9.0,1,49,False,1,3
0,0,11,0,2.1,1,0,2.6,15.2,90,10,0,0,0,0,0,9.0,2,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,49,True,0,3
0,0,15,0,0.8,1,0,3.2,30.8,90,6,0,0,0,0,0,0.0,2,49,False,0,3
0,0,2,0,1.4,2,0,0.7,4.4,90,4,0,0,0,0,0,1.0,1,49,False,1,3
