assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,24,0,8.2,3,1,11.6,43.2,90,1,0,0,0,0,0,65.0,7,90,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,90,False,0,3
0,0,-4,0,20.3,1,0,4.8,3.8,87,17,0,0,0,0,0,24.0,1,89,False,1,3
1,2,50,0,44.1,1,1,14.9,66.8,90,8,0,0,0,0,0,38.0,12,89,True,0,3
0,0,4,0,20.6,1,0,4.6,5.4,90,4,0,0,0,0,0,20.0,2,89,False,0,3
0,0,28,0,42.6,1,1,16.5,46.2,90,7,0,0,0,0,0,76.0,7,90,True,0,3
0,0,7,0,6.7,1,0,8.6,9.6,90,16,0,0,0,0,0,70.0,2,90,False,0,3
0,0,4,1,4.8,0,0,1.5,2.2,90,11,0,0,0,0,0,8.0,3,90,True,0,3
1,2,35,0,40.5,1,1,12.8,56.4,90,19,0,0,0,0,0,31.0,12,90,True,0,3
0,0,13,0,39.8,2,0,8.4,14.4,90,5,0,0,0,0,0,30.0,2,90,False,0,3
0,0,41,1,22.2,0,2,14.0,72.6,62,18,0,0,0,0,0,45.0,13,90,True,0,3
0,0,6,1,6.4,0,0,6.1,5.4,90,13,0,0,0,0,0,49.0,3,91,False,0,3
1,0,19,1,19.1,0,0,9.3,10.6,90,15,0,0,0,0,0,63.0,6,91,True,0,3
1,1,37,0,18.7,1,1,9.5,51.2,68,2,0,0,0,0,0,25.0,11,93,False,0,3
2,1,27,0,61.9,2,0,13.7,31.2,90,20,0,0,0,0,0,44.0,8,93,True,1,3
0,0,14,1,38.7,0,0,12.1,11.2,90,12,0,0,0,0,0,71.0,3,94,False,0,3
0,2,30,1,17.7,0,1,9.9,38.4,90,6,0,0,0,0,0,43.0,10,94,False,0,3
0,0,5,0,31.8,1,0,7.5,9.0,90,14,0,0,0,0,0,34.0,2,95,True,0,3
0,0,5,1,6.6,0,0,0.9,0.0,88,10,0,0,0,0,0,6.0,3,94,True,0,3
0,0,22,0,54.6,2,1,15.1,40.6,90,15,0,0,0,0,0,56.0,6,94,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,91,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,91,True,0,3
0,0,4,0,11.6,0,0,1.5,1.2,16,4,0,0,0,0,0,2.0,1,90,True,0,3
0,0,10,0,40.9,2,0,8.7,11.6,90,7,0,0,0,0,0,34.0,2,91,False,0,3
0,3,40,1,14.0,0,2,17.7,73.2,90,17,0,0,0,0,0,90.0,16,91,True,0,3
0,0,6,0,16.4,3,0,5.6,7.4,65,8,0,0,0,0,0,32.0,2,94,False,0,3
1,3,41,0,30.2,1,1,10.8,53.4,90,1,0,0,0,0,0,24.0,13,94,True,0,3
0,0,1,0,17.8,1,0,5.6,11.0,90,3,0,0,0,0,0,27.0,2,97,True,0,3
0,0,7,0,21.8,1,0,8.2,10.2,90,10,0,0,0,0,0,50.0,1,97,False,1,3
0,0,26,0,2.7,1,1,6.1,40.8,56,6,0,0,0,0,0,17.0,6,97,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,95,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,94,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,94,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,93,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,93,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,93,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,93,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,93,True,0,3
0,0,18,0,28.1,3,1,9.2,36.8,90,18,0,0,0,0,0,27.0,6,95,False,1,3
0,0,29,1,20.4,0,1,18.6,51.2,90,6,0,0,0,0,0,114.0,8,95,True,0,3
0,0,36,1,6.6,0,1,8.8,37.4,73,1,0,0,0,0,0,44.0,8,95,True,0,3
0,0,-5,0,15.3,5,0,1.9,0.0,36,11,0,0,0,1,0,6.0,-2,96,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,95,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,94,False,0,3
0,0,14,0,5.9,1,0,2.5,5.0,73,13,0,0,0,0,0,14.0,2,94,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,94,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,93,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,93,True,0,3
2,2,27,0,22.4,1,0,7.9,33.2,76,20,0,0,0,0,0,23.0,10,93,False,0,3
0,0,11,1,41.3,0,0,9.6,9.0,73,14,0,0,0,0,0,46.0,3,93,True,0,3
0,0,3,0,0.1,0,0,0.0,0.0,1,5,0,0,0,0,0,0.0,1,93,True,0,3
1,3,42,1,45.3,0,1,14.0,55.8,88,15,0,0,0,0,0,39.0,13,93,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,94,False,0,3
0,0,13,0,63.2,1,0,11.3,22.8,90,7,0,0,0,0,0,27.0,2,94,True,0,3
0,0,9,1,4.8,0,0,3.9,11.8,75,19,0,0,0,0,0,22.0,3,94,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,94,False,0,3
0,0,12,0,28.5,3,0,8.6,19.8,79,1,0,0,0,0,0,38.0,2,93,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,93,True,0,3
1,1,25,0,41.5,1,0,6.9,19.6,71,9,0,0,0,0,0,8.0,6,93,True,0,3
0,0,21,1,9.6,0,1,6.2,30.0,71,4,0,0,0,0,0,22.0,8,93,False,0,3
0,0,22,0,17.2,3,1,8.3,39.4,90,11,0,0,0,0,0,26.0,7,93,True,0,3
0,0,5,0,23.5,1,0,4.4,8.0,90,16,0,0,0,0,0,12.0,2,93,False,0,3
1,0,12,1,56.3,0,0,12.7,27.8,90,8,0,0,0,0,0,43.0,6,93,False,0,3
0,0,8,1,2.9,0,0,1.5,8.2,64,17,0,0,0,0,0,4.0,3,93,True,0,3
0,0,9,1,34.2,0,0,9.3,8.0,90,14,0,0,0,0,0,51.0,3,93,False,0,3
0,0,22,0,35.2,1,1,14.4,38.8,86,20,0,0,0,0,0,70.0,7,93,True,0,3
0,0,26,1,10.7,0,1,7.0,36.4,73,13,0,0,0,0,0,23.0,8,94,True,0,3
1,2,22,0,46.5,2,0,7.8,17.4,90,12,0,0,0,0,0,14.0,7,94,False,0,3
2,0,30,1,35.0,0,0,8.8,43.4,90,18,0,0,0,0,0,10.0,9,95,True,0,3
0,0,21,0,12.1,1,1,13.6,36.6,63,6,0,0,0,0,0,87.0,6,95,False,1,3
0,0,8,1,13.3,0,0,2.6,5.2,73,7,0,0,0,0,0,7.0,3,95,False,0,3
0,0,28,1,16.6,0,1,11.6,36.6,76,2,0,0,0,0,0,63.0,8,95,True,0,3
0,0,9,1,8.0,0,0,1.5,5.4,65,19,0,0,0,0,0,2.0,3,95,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,95,True,0,3
0,0,11,0,39.3,1,0,10.0,19.6,90,5,0,0,0,0,0,41.0,2,94,False,0,3
0,0,11,1,55.3,0,0,15.1,14.2,73,3,0,0,0,0,0,81.0,3,94,True,0,3
0,3,52,1,29.3,0,2,18.5,77.0,81,19,0,0,0,0,0,79.0,16,95,True,0,3
0,2,37,1,36.9,0,1,13.5,50.2,90,7,0,0,0,0,0,48.0,10,97,False,0,3
0,0,7,1,5.7,0,0,3.4,5.6,79,3,0,0,0,0,0,23.0,3,98,True,0,3
0,3,29,0,12.7,1,1,7.3,39.2,90,11,0,0,0,0,0,21.0,10,99,False,0,3
0,0,7,0,25.8,1,0,10.0,10.4,90,17,0,0,0,0,0,64.0,2,100,False,0,3
0,0,4,1,13.9,0,0,4.1,9.6,90,16,0,0,0,0,0,17.0,3,100,True,0,3
0,0,1,0,3.3,1,0,2.9,1.8,90,6,0,0,0,0,0,24.0,1,100,False,1,3
0,0,4,1,3.5,0,0,1.9,5.0,90,13,0,0,0,0,0,10.0,3,99,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,98,False,0,3
0,3,55,0,32.3,1,2,17.0,76.0,90,5,0,0,0,0,0,62.0,15,97,True,0,3
0,0,8,0,2.3,1,0,2.7,7.0,90,1,0,0,0,0,0,18.0,2,98,False,0,3
0,0,12,1,18.0,0,0,4.9,10.6,90,9,0,0,0,0,0,20.0,3,99,True,0,3
2,0,20,1,14.9,0,0,8.0,27.0,90,18,0,0,0,0,0,38.0,9,99,False,0,3
0,0,-2,1,13.8,0,0,4.8,0.0,90,8,0,0,0,0,0,35.0,3,99,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,98,False,0,3
0,0,5,0,1.5,0,0,0.8,2.2,25,2,0,0,0,0,0,4.0,1,97,False,0,3
0,2,26,0,34.4,1,1,13.0,45.8,83,14,0,0,0,0,0,50.0,9,97,True,0,3
0,0,17,1,43.4,0,0,8.2,22.4,86,20,0,0,0,0,0,16.0,3,96,False,0,3
0,0,17,1,26.8,0,0,10.8,9.0,90,15,0,0,0,0,0,72.0,3,96,True,0,3
0,0,24,0,3.6,1,1,8.1,37.4,61,1,0,0,0,0,0,40.0,7,95,True,0,3
0,0,-2,0,1.7,2,0,2.3,0.6,76,13,0,0,0,0,0,21.0,2,95,False,0,3
0,0,7,1,27.9,0,0,6.4,6.0,89,3,0,0,0,0,0,30.0,3,95,False,0,3
0,0,26,0,22.1,3,1,14.5,47.2,90,7,0,0,0,0,0,76.0,7,95,True,0,3
0,2,26,0,28.6,1,1,9.8,40.4,90,11,0,0,0,0,0,29.0,9,95,True,0,3
0,1,23,0,8.1,1,1,10.5,44.8,90,19,0,0,0,0,0,52.0,8,95,False,0,3
0,0,21,1,15.8,0,1,9.6,36.2,86,2,0,0,0,0,0,44.0,8,95,True,0,3
0,0,12,1,4.3,0,0,2.1,8.2,90,14,0,0,0,0,0,8.0,3,96,False,0,3
0,0,42,1,7.2,0,2,13.5,64.6,77,18,0,0,0,0,0,63.0,13,96,True,0,3
0,0,4,1,4.5,0,0,0.7,0.6,83,8,0,0,0,0,0,2.0,3,97,False,0,3
0,2,45,0,40.5,2,2,17.4,72.2,90,4,0,0,0,0,0,61.0,14,98,True,0,3
1,3,42,0,19.1,1,1,10.3,42.0,90,9,0,0,0,0,0,42.0,13,99,False,0,3
0,0,6,0,13.8,1,0,2.6,4.4,90,17,0,0,0,0,0,8.0,2,100,True,0,3
0,0,2,0,24.9,1,0,9.6,13.4,90,16,0,0,0,0,0,58.0,1,101,False,1,3
0,1,30,1,30.7,0,1,12.9,40.6,90,6,0,0,0,0,0,58.0,9,101,True,0,3
0,0,7,1,52.9,0,0,8.8,5.6,90,5,0,0,0,0,0,29.0,3,100,False,0,3
0,0,35,1,24.3,0,2,14.2,69.0,90,10,0,0,0,0,0,49.0,13,101,True,0,3
0,0,5,0,21.3,2,0,5.5,9.0,90,15,0,0,0,0,0,25.0,2,102,False,0,3
0,2,49,1,23.0,0,2,13.4,74.8,90,20,0,0,0,0,0,36.0,15,103,True,0,3
0,0,3,0,1.3,0,0,0.9,1.2,16,14,0,0,0,0,0,6.0,1,115,True,0,3
1,3,45,0,56.0,1,1,16.3,69.4,90,16,0,0,0,0,0,38.0,13,115,False,0,3
0,0,10,1,51.2,0,0,10.1,20.2,76,1,0,0,0,0,0,30.0,3,115,True,0,3
0,0,23,1,16.6,0,1,9.4,40.2,84,5,0,0,0,0,0,37.0,8,115,False,0,3
0,3,41,0,26.0,1,2,15.9,67.2,90,13,0,0,0,0,0,66.0,15,115,True,0,3
0,0,7,0,3.4,1,0,1.8,8.2,70,6,0,0,0,0,0,6.0,2,116,False,0,3
0,0,-2,1,3.6,0,0,3.4,0.0,90,15,0,0,0,0,0,32.0,3,116,False,0,3
1,2,35,0,16.5,1,1,11.3,51.6,90,9,0,0,0,0,0,45.0,12,116,True,0,3
0,0,5,0,36.3,1,0,4.7,6.2,90,12,0,0,0,0,0,4.0,2,118,False,0,3
1,0,18,0,32.6,1,0,6.4,9.2,90,17,0,0,0,0,0,22.0,5,118,True,0,3
1,3,29,0,45.7,1,1,17.7,53.0,90,2,0,0,0,0,0,78.0,12,119,False,1,3
0,0,21,0,22.3,1,1,10.9,47.4,90,11,0,0,0,0,0,39.0,7,120,True,0,3
0,2,26,0,24.7,1,1,10.2,37.0,90,7,0,0,0,0,0,40.0,9,121,False,0,3
0,0,17,0,32.9,1,0,11.6,23.2,90,4,0,0,0,0,0,60.0,2,122,True,0,3
2,2,40,0,28.1,2,1,12.5,66.0,90,8,0,0,0,0,0,31.0,15,122,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,123,False,0,3
1,0,15,1,15.2,0,0,7.0,23.4,90,18,0,0,0,0,0,31.0,6,123,True,0,3
1,0,13,1,36.3,0,0,10.3,22.2,90,9,0,0,0,0,0,44.0,6,122,False,0,3
0,3,35,1,15.5,0,1,9.7,40.0,90,20,0,0,0,0,0,41.0,11,122,True,0,3
0,0,25,1,15.8,0,1,14.9,45.4,77,15,0,0,0,0,0,88.0,8,123,True,0,3
0,0,10,1,10.6,0,0,5.4,12.6,80,17,0,0,0,0,0,31.0,3,123,False,0,3
0,0,0,1,25.5,0,0,7.0,3.2,82,12,0,0,0,0,0,41.0,3,124,True,0,3
0,0,6,0,17.0,0,0,2.6,5.4,32,20,0,0,0,0,0,4.0,1,124,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,124,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,123,True,0,3
0,0,21,0,2.6,0,1,5.7,33.2,30,14,0,0,0,0,0,21.0,5,122,False,1,3
0,1,33,0,12.3,2,1,14.5,45.4,90,19,0,0,0,0,0,87.0,8,123,True,0,3
0,0,5,0,4.2,3,0,1.7,4.6,90,18,0,0,0,0,0,8.0,2,124,False,0,3
1,3,39,0,28.6,1,1,12.5,56.2,90,3,0,0,0,0,0,40.0,13,124,True,0,3
0,0,10,1,24.6,0,0,4.9,14.4,90,8,0,0,0,0,0,10.0,3,125,False,0,3
0,1,37,1,62.7,0,1,13.7,49.6,83,7,0,0,0,0,0,25.0,9,125,True,0,3
0,0,3,0,12.2,4,0,4.7,2.6,84,11,0,0,0,0,0,32.0,2,125,False,0,3
0,3,33,1,13.1,0,1,8.4,40.0,90,2,0,0,0,0,0,31.0,11,124,True,0,3
