assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,1,35,0,15.6,3,0,7.9,40.2,90,9,0,0,0,0,0,23.0,5,60,True,0,2
0,0,11,0,12.6,1,0,2.1,6.4,65,15,0,0,0,0,0,2.0,2,60,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,60,False,0,2
1,2,40,1,28.3,0,0,8.2,32.0,90,2,0,0,0,0,0,22.0,11,60,True,0,2
0,0,24,1,5.3,0,0,3.3,18.6,90,5,0,0,0,0,0,9.0,5,60,False,1,2
0,0,23,1,5.8,0,0,2.5,15.0,90,19,0,0,0,0,0,4.0,6,60,True,0,2
0,0,29,1,36.3,0,0,7.6,15.2,90,3,0,0,0,0,0,24.0,6,60,True,0,2
0,0,9,0,3.7,2,0,1.6,6.0,90,18,0,0,0,0,0,6.0,1,60,False,0,2
0,0,9,0,7.0,2,0,6.1,6.0,90,7,0,0,0,0,0,48.0,1,60,False,0,2
1,3,40,0,33.8,1,1,12.1,56.2,77,16,0,0,0,0,0,31.0,14,60,True,0,2
0,0,10,0,5.8,3,0,2.2,13.8,90,11,0,0,0,0,0,2.0,1,60,False,0,2
0,0,22,1,3.0,0,0,3.5,12.4,90,17,0,0,0,0,0,20.0,6,60,True,0,2
0,0,21,1,2.7,0,0,4.7,4.2,90,4,0,0,0,0,0,40.0,6,60,False,0,2
1,0,30,1,33.7,0,0,9.9,22.4,90,8,0,0,0,0,0,43.0,9,61,True,0,2
0,0,11,0,13.8,3,0,4.0,15.4,75,12,0,0,0,0,0,11.0,1,61,True,0,2
0,0,13,0,21.1,1,0,5.3,17.6,90,14,0,0,0,0,0,14.0,2,62,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,62,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,62,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,61,True,0,2
0,0,13,0,16.8,2,0,3.8,13.6,90,6,0,0,0,0,0,8.0,1,60,False,0,2
0,0,4,0,2.9,0,0,1.0,3.2,36,19,0,0,0,0,0,4.0,1,60,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,60,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,59,False,0,2
0,0,3,0,1.6,0,0,0.8,0.4,8,6,0,0,0,0,0,6.0,1,59,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,59,False,0,2
0,0,8,0,2.3,1,0,1.7,12.8,45,7,0,0,0,0,0,2.0,1,59,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,59,False,0,2
0,0,12,0,6.8,3,0,2.3,16.0,90,11,0,0,0,0,0,0.0,0,58,True,1,2
0,0,19,0,36.8,2,0,6.0,18.8,90,3,0,0,0,0,0,4.0,0,58,False,1,2
0,0,26,1,13.2,0,0,3.4,12.6,90,18,0,0,0,0,0,8.0,6,58,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,58,True,0,2
