assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,3,0,1,1,90,15,0,0,0,0,1,0,9,True,0
0,3,0,1,2,82,14,0,0,0,0,2,0,13,False,0
0,0,0,1,0,87,20,0,0,0,0,3,0,2,True,0
0,0,0,0,0,0,11,0,0,0,0,4,0,0,False,0
0,0,0,0,0,0,2,0,0,0,0,5,0,0,True,0
0,3,0,1,2,90,16,0,0,0,0,6,0,13,False,0
0,0,0,2,0,90,17,0,0,0,0,7,0,2,False,0
0,0,0,1,0,35,6,0,1,0,0,8,0,-1,True,0
0,0,0,1,0,90,13,0,0,0,0,9,0,1,True,1
1,3,1,0,2,90,19,0,0,0,0,10,0,16,False,0
0,1,1,0,1,89,12,0,0,0,0,11,0,6,True,1
0,0,0,1,0,85,5,0,0,0,0,12,0,2,False,0
0,3,0,1,2,88,3,0,0,0,0,13,0,12,False,1
0,0,0,3,0,90,4,0,0,0,1,14,0,-1,True,0
0,0,0,0,0,0,8,0,0,0,0,15,0,0,False,0
0,0,0,0,0,0,18,0,0,0,0,16,0,0,True,0
0,0,0,0,0,0,1,0,0,0,0,17,0,0,True,0
0,0,0,0,0,0,7,0,0,0,0,18,0,0,False,0
0,0,0,1,0,90,9,0,0,0,0,19,0,2,False,0
0,2,0,1,1,45,3,0,0,0,0,20,0,7,True,0
0,0,0,4,0,90,6,0,0,0,0,21,0,2,False,0
0,0,0,2,0,90,17,0,0,0,0,22,0,2,True,0
0,0,0,0,0,18,20,0,0,0,0,23,0,1,False,0
0,0,0,0,0,8,16,0,0,0,0,24,0,1,True,0
1,0,1,0,0,76,2,0,0,0,0,25,0,5,False,0
0,1,1,0,1,90,15,0,0,0,0,27,0,7,False,0
0,0,1,0,0,90,14,0,0,0,0,27,0,2,True,0
0,0,0,1,1,90,9,0,0,0,0,29,0,6,True,0
0,1,0,2,1,90,1,0,0,0,0,30,0,7,False,0
0,2,0,2,1,90,4,0,0,0,0,31,0,8,False,0
0,3,0,1,1,90,7,0,0,0,0,32,0,9,True,0
0,0,1,0,1,88,13,0,0,0,0,33,0,6,False,0
0,0,1,0,0,90,11,0,0,0,0,34,0,2,True,0
1,3,0,2,1,90,12,0,0,0,0,35,0,12,False,0
0,0,0,0,0,0,5,0,0,0,0,36,0,0,True,0
0,0,0,0,0,13,8,0,0,0,0,37,0,0,True,1
1,1,0,1,0,90,19,0,0,0,0,37,0,6,True,0
1,3,1,0,2,70,18,0,0,0,0,38,0,16,False,0
0,3,1,0,1,82,3,0,0,0,0,1,0,9,False,0
