assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,10,0,0.0,2,0,3.5,16.6,90,11,0,0,0,0,0,18.0,1,45,True,0,2
0,0,18,0,0.1,2,0,3.6,35.8,90,9,0,0,0,0,0,0.0,1,45,False,0,2
0,3,30,1,11.2,0,0,4.2,22.8,90,18,0,0,0,0,0,8.0,9,45,False,0,2
0,0,18,0,0.3,1,0,6.9,37.0,90,19,0,0,0,0,0,32.0,2,45,True,0,2
0,0,12,0,10.3,2,0,9.4,29.4,90,2,0,0,0,0,0,54.0,1,45,False,0,2
0,0,23,1,0.3,0,0,4.3,32.8,90,13,0,0,0,0,0,10.0,5,45,True,1,2
0,0,6,0,0.3,2,0,6.1,22.8,90,1,0,0,0,0,0,38.0,0,45,False,1,2
0,0,19,1,0.1,0,0,1.1,7.2,72,7,0,0,0,0,0,4.0,6,45,True,0,2
0,1,29,1,0.3,0,0,4.2,37.6,90,20,0,0,0,0,0,4.0,7,45,False,0,2
0,0,6,0,0.3,1,0,2.9,19.2,90,14,0,0,0,0,0,9.0,1,45,True,1,2
0,1,26,1,0.1,0,0,3.4,34.0,90,16,0,0,0,0,0,0.0,7,45,False,0,2
0,0,13,0,0.2,2,0,1.5,12.8,90,15,0,0,0,0,0,2.0,1,46,True,0,2
0,0,8,0,0.3,1,0,4.1,28.0,90,12,0,0,0,0,0,13.0,1,46,False,1,2
0,0,24,1,4.1,0,0,2.9,17.2,90,6,0,0,0,0,0,8.0,6,46,True,0,2
1,0,26,0,10.5,5,0,4.3,28.6,90,10,0,0,0,0,0,4.0,3,46,True,0,2
0,0,8,0,0.0,2,0,1.2,9.6,90,8,0,0,0,0,0,2.0,1,46,False,0,2
0,0,14,0,0.3,2,0,9.2,57.4,90,17,0,0,0,0,0,34.0,1,46,False,0,2
0,0,24,1,0.3,0,0,3.5,26.8,90,4,0,0,0,0,0,8.0,5,46,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,46,True,0,2
0,0,15,0,0.2,2,0,2.9,25.0,90,5,0,0,0,0,0,4.0,1,46,False,0,2
0,0,27,1,10.3,0,0,4.5,16.6,90,13,0,0,0,0,0,18.0,6,46,False,0,2
0,0,17,0,10.8,2,0,6.6,33.6,90,2,0,0,0,0,0,22.0,1,46,True,0,2
0,1,23,0,1.7,2,0,3.6,32.4,90,19,0,0,0,0,0,2.0,2,46,False,0,2
0,0,9,0,0.1,4,0,1.9,10.6,90,5,0,0,0,0,0,8.0,-1,46,True,1,2
0,0,15,0,0.3,1,0,3.5,34.4,90,14,0,0,0,0,0,0.0,2,46,False,0,2
0,0,9,0,0.1,1,0,1.6,12.2,90,20,0,0,0,0,0,4.0,2,46,True,0,2
0,0,21,0,10.3,1,0,6.2,51.6,90,15,0,0,0,0,0,0.0,2,46,False,0,2
0,0,13,0,4.1,1,0,5.2,41.8,90,16,0,0,0,0,0,6.0,2,46,True,0,2
1,1,23,0,10.6,1,0,6.8,51.4,90,1,0,0,0,0,0,6.0,6,46,True,0,2
0,0,9,0,0.1,2,0,2.9,29.2,90,7,0,0,0,0,0,0.0,1,46,False,0,2
0,0,14,0,0.5,2,0,2.6,25.4,90,9,0,0,0,0,0,0.0,1,46,True,0,2
0,0,2,0,0.0,1,0,1.4,3.6,90,8,0,0,0,0,0,10.0,1,46,True,1,2
0,0,11,0,0.4,3,0,4.9,36.2,90,6,0,0,0,0,0,12.0,1,46,False,0,2
0,0,18,0,10.0,1,0,4.0,29.6,90,17,0,0,0,0,0,0.0,2,46,True,0,2
0,0,26,1,0.2,0,0,3.1,30.4,90,4,0,0,0,0,0,0.0,6,46,False,0,2
0,0,23,1,0.0,0,0,2.7,23.4,90,12,0,0,0,0,0,4.0,6,46,True,0,2
0,0,12,0,0.1,3,0,5.4,37.2,90,11,0,0,0,0,0,17.0,0,46,False,1,2
0,0,13,0,0.1,3,0,2.8,27.4,70,10,0,0,0,0,0,0.0,1,46,False,0,2
0,0,26,1,0.2,0,0,2.5,22.6,90,18,0,0,0,0,0,2.0,6,50,False,0,2
0,0,13,0,0.8,1,0,1.3,9.4,90,19,0,0,0,0,0,3.0,2,50,True,0,2
0,0,13,0,0.2,2,0,1.7,10.8,90,16,0,0,0,0,0,6.0,1,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,50,False,0,2
0,0,13,0,0.4,1,0,2.4,21.4,90,5,0,0,0,0,0,2.0,2,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,49,True,0,2
0,0,5,0,0.0,1,0,1.1,11.2,20,2,0,0,0,0,0,0.0,1,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,49,True,0,2
0,0,20,0,0.8,0,1,6.0,38.2,54,14,0,0,0,0,0,21.0,7,49,True,0,2
0,0,14,0,0.5,3,0,3.8,30.8,90,12,0,0,0,0,0,7.0,1,49,False,0,2
0,0,4,0,0.6,2,0,1.1,0.0,90,9,0,0,0,0,0,11.0,1,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,49,False,0,2
0,0,3,0,0.0,0,0,0.0,0.2,2,1,0,0,0,0,0,0.0,1,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,49,True,0,2
0,0,3,0,0.0,0,0,0.0,0.2,5,7,0,0,0,0,0,0.0,1,48,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,48,True,0,2
0,0,12,0,0.0,2,0,2.5,22.8,90,17,0,0,0,0,0,2.0,1,48,False,0,2
0,0,21,1,0.6,0,0,1.0,7.2,90,3,0,0,0,0,0,2.0,6,48,True,0,2
