assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,1,0,13.8,1,0,2.3,0.0,82,18,0,0,0,0,0,11.0,2,65,True,0,4
0,0,9,0,17.0,2,0,6.7,10.2,83,11,0,0,0,0,0,40.0,2,65,False,0,4
0,0,4,0,3.5,1,0,2.1,4.2,24,15,0,0,0,0,0,13.0,1,64,True,0,4
0,0,-7,0,1.6,1,0,5.9,4.2,45,1,0,0,0,0,0,53.0,1,63,False,0,4
0,0,2,0,14.3,0,0,4.5,3.4,53,16,0,0,0,0,0,27.0,0,63,True,1,4
0,0,5,0,21.8,0,0,3.6,6.4,17,20,0,0,0,0,0,8.0,1,62,False,0,4
0,0,2,0,3.1,0,0,1.1,0.2,20,8,0,0,0,0,0,8.0,1,61,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,61,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,61,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,61,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,61,False,0,4
0,0,5,0,0.3,0,0,0.3,2.2,25,9,0,0,0,0,0,0.0,1,61,True,0,4
0,0,3,0,0.0,0,0,0.0,0.0,2,6,0,0,0,0,0,0.0,1,61,True,0,4
0,0,3,0,0.6,1,0,2.3,3.2,15,5,0,0,0,0,0,19.0,1,61,False,0,4
0,0,3,0,0.3,0,0,0.2,0.0,6,12,0,0,0,0,0,2.0,1,61,True,0,4
0,0,2,1,5.0,0,0,3.9,1.2,65,14,0,0,0,0,0,33.0,2,61,False,0,4
0,0,5,0,0.0,0,0,0.2,2.0,1,2,0,0,0,0,0,0.0,1,61,False,0,4
0,0,-3,0,0.2,2,0,0.6,0.0,19,17,0,0,0,0,0,8.0,0,61,True,1,4
0,1,29,0,9.5,2,1,8.9,34.8,90,19,0,0,0,0,0,45.0,7,61,True,0,4
0,0,4,0,10.5,2,0,1.7,2.0,13,6,0,0,0,0,0,4.0,1,61,False,0,4
0,0,10,0,20.3,1,0,5.7,7.0,90,3,0,0,0,0,0,30.0,2,61,False,0,4
1,0,10,0,0.3,0,0,0.4,0.0,11,8,0,0,0,0,0,6.0,4,61,True,0,4
0,1,31,0,21.8,2,1,10.5,36.4,90,16,0,0,0,0,0,47.0,7,61,False,0,4
