assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,20,0,5.8,1,0,4.9,24.8,90,13,0,0,0,0,0,18.0,2,60,True,0,2
0,0,18,0,1.2,1,0,2.4,22.6,90,7,0,0,0,0,0,0.0,2,60,False,0,2
0,0,26,1,0.6,0,0,4.3,16.2,90,4,0,0,0,0,0,26.0,6,60,True,0,2
0,2,40,1,5.9,0,0,5.8,50.0,90,3,0,0,0,0,0,2.0,8,60,False,0,2
0,0,13,0,7.4,2,0,2.9,15.4,90,16,0,0,0,0,0,6.0,1,60,True,0,2
0,0,19,1,4.0,0,0,3.1,10.6,90,12,0,0,0,0,0,16.0,5,60,True,1,2
0,0,20,0,11.5,1,0,3.2,20.8,90,15,0,0,0,0,0,0.0,2,60,False,0,2
0,0,11,0,0.4,1,0,2.4,13.2,90,17,0,0,0,0,0,10.0,2,60,True,0,2
0,0,17,0,2.1,1,0,3.0,27.8,90,11,0,0,0,0,0,0.0,2,60,False,0,2
0,0,18,0,0.8,1,0,2.4,19.6,90,2,0,0,0,0,0,4.0,1,60,True,1,2
1,0,18,0,10.7,1,0,4.8,31.0,90,20,0,0,0,0,0,6.0,4,61,False,1,2
0,0,3,0,10.8,0,0,3.2,3.2,24,14,0,0,0,0,0,18.0,1,61,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,60,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,59,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,59,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,58,True,0,2
0,0,12,0,5.1,3,0,2.1,8.2,90,2,0,0,0,0,0,8.0,0,58,False,1,2
0,0,27,1,1.2,0,0,1.5,14.0,90,16,0,0,0,0,0,0.0,6,58,False,0,2
0,0,26,0,11.1,1,1,9.0,53.8,90,3,0,0,0,0,0,25.0,7,58,True,1,2
0,0,7,0,4.7,2,0,5.1,16.0,90,18,0,0,0,0,0,30.0,1,58,True,0,2
0,0,15,0,15.6,3,0,7.7,29.6,90,4,0,0,0,0,0,32.0,0,58,False,1,2
0,1,34,1,0.7,0,0,3.2,26.8,90,7,0,0,0,0,0,4.0,7,58,True,0,2
0,0,15,0,0.4,3,0,2.8,23.2,90,9,0,0,0,0,0,4.0,1,58,False,0,2
0,0,14,0,17.9,3,0,3.9,19.4,90,19,0,0,0,0,0,2.0,1,58,False,0,2
1,3,32,0,11.3,2,1,9.3,61.0,90,10,0,0,0,0,0,21.0,12,58,True,1,2
0,0,23,1,1.9,0,0,1.6,10.6,90,20,0,0,0,0,0,3.0,5,58,True,1,2
0,0,12,0,0.9,3,0,2.1,14.2,90,5,0,0,0,0,0,6.0,0,58,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,58,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,58,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,58,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,58,True,0,2
0,2,33,1,1.3,0,0,4.8,29.4,90,13,0,0,0,0,0,17.0,8,58,False,0,2
0,0,12,0,1.1,1,0,4.0,16.0,90,14,0,0,0,0,0,23.0,1,58,False,1,2
0,0,28,1,25.3,0,0,12.9,20.8,90,15,0,0,0,0,0,83.0,5,58,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,58,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,55,True,0,2
0,0,15,0,22.1,1,0,4.9,21.2,90,15,0,0,0,0,0,6.0,2,55,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,55,False,0,2
