assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,0,0,0,1,0,0,0,0,4,0,0,False,0
0,0,0,0,0,0,16,0,0,0,0,5,0,0,True,0
0,0,0,0,0,0,20,0,0,0,0,6,0,0,False,0
0,0,0,0,0,0,8,0,0,0,0,7,0,0,False,0
0,0,0,0,0,0,3,0,0,0,0,8,0,0,True,0
0,0,0,0,0,21,10,0,0,0,0,9,0,1,False,0
0,0,0,0,0,30,4,0,0,0,0,10,0,1,True,0
0,0,0,0,0,25,7,0,0,0,0,11,0,1,False,0
0,0,1,0,0,65,9,0,0,0,0,12,0,3,True,0
0,0,0,0,0,0,6,0,0,0,0,13,0,0,True,0
0,0,0,2,0,75,5,0,0,0,0,14,0,2,False,0
0,1,1,0,1,72,12,0,0,0,0,15,0,8,True,1
0,0,1,0,0,90,14,0,0,0,0,16,0,3,False,0
0,0,0,1,0,61,2,0,0,0,0,17,0,1,False,1
0,0,0,2,0,71,17,0,0,0,0,18,0,2,True,0
0,0,0,2,0,90,19,0,0,0,0,19,0,1,True,1
0,0,0,3,0,24,6,0,0,0,0,20,0,1,False,0
0,0,0,0,0,0,3,0,0,0,0,21,0,0,False,0
0,0,0,0,0,0,8,0,0,0,0,22,0,0,True,0
0,0,0,1,0,35,16,0,0,0,0,23,0,1,False,0
0,0,0,3,0,62,20,0,0,0,0,24,0,2,True,0
0,0,0,0,0,0,15,0,0,0,0,25,0,0,False,0
1,0,0,2,0,13,18,0,0,0,0,27,0,4,False,0
0,0,0,0,0,22,17,0,0,0,0,29,0,0,False,1
0,0,0,0,0,28,2,0,0,0,0,30,0,1,True,0
0,0,0,0,0,0,5,0,0,0,0,31,0,0,True,0
0,0,0,0,0,0,19,0,0,0,0,32,0,0,False,0
0,0,0,2,0,31,10,0,0,0,0,33,0,1,True,0
0,0,0,3,0,67,4,0,0,0,0,34,0,2,False,0
0,0,0,0,0,57,7,0,0,0,0,35,0,1,True,0
0,0,0,0,0,59,9,0,0,0,0,36,0,1,False,0
