assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,2,0,76,11,0,0,0,0,1,0,2,True,0
0,0,0,2,0,90,9,0,0,0,0,2,0,2,False,0
0,0,1,0,0,90,18,0,0,0,0,3,0,3,False,0
1,0,0,1,0,90,19,0,0,0,0,4,0,4,True,1
0,0,0,2,1,90,2,0,0,0,0,5,0,7,False,0
0,0,1,0,0,90,13,0,0,0,0,6,0,3,True,0
0,0,0,2,0,71,1,0,0,0,0,7,0,2,False,0
0,0,1,0,0,72,7,0,0,0,0,8,0,3,True,0
0,0,0,0,0,20,20,0,0,0,0,9,0,1,False,0
0,0,0,0,0,3,14,0,0,0,0,10,0,1,True,0
0,0,0,0,0,24,16,0,0,0,0,11,0,1,False,0
0,0,0,0,0,16,15,0,0,0,0,12,0,1,True,0
0,0,0,1,0,74,12,0,0,0,0,13,0,2,False,0
0,0,0,0,0,19,6,0,0,0,0,14,0,1,True,0
0,0,0,2,0,20,10,0,0,0,0,15,0,1,True,0
0,0,0,0,0,45,8,0,0,0,0,16,0,1,False,0
0,0,0,1,0,28,17,0,0,0,0,17,0,1,False,0
0,0,1,0,0,90,4,0,0,0,0,18,0,2,True,1
0,0,1,0,0,90,18,0,0,0,0,19,0,3,True,0
0,0,0,2,0,81,5,0,0,0,0,20,0,2,False,0
0,0,1,0,0,90,13,0,0,0,0,21,0,3,False,0
0,0,0,0,0,0,2,0,0,0,0,22,0,0,True,0
0,0,0,1,0,45,19,0,0,0,0,23,0,1,False,0
0,0,0,3,0,82,5,0,0,0,0,24,0,2,True,0
1,0,0,1,0,90,14,0,0,0,0,25,0,4,False,1
0,0,0,0,0,13,20,0,0,0,0,26,0,1,True,0
0,0,0,1,0,85,15,0,0,0,0,27,0,2,False,0
0,0,0,1,0,11,16,0,0,0,0,28,0,1,True,0
0,0,0,0,0,13,1,0,0,0,0,29,0,1,True,0
0,0,0,0,0,0,7,0,0,0,0,30,0,0,False,0
0,0,0,2,0,15,9,0,0,0,0,32,0,1,True,0
1,3,0,1,0,90,8,0,0,0,0,33,0,8,True,0
0,0,0,0,0,4,6,0,0,0,0,34,0,1,False,0
0,0,0,0,0,13,17,0,0,0,0,34,0,1,True,0
0,0,0,0,0,5,4,0,0,0,0,36,0,1,False,0
0,0,0,0,0,2,12,0,0,0,0,37,0,1,True,0
