assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,0,18,0,10.5,0,0,3.7,26.2,55,9,0,0,0,0,0,0.0,4,60,True,0,3
0,0,12,0,7.9,2,0,1.4,6.2,56,4,0,0,0,0,0,0.0,1,60,False,0,3
0,3,40,1,37.3,0,1,9.6,51.2,74,7,0,0,0,0,0,7.0,11,60,True,0,3
0,0,3,0,5.8,2,0,2.8,3.4,63,8,0,0,0,0,0,19.0,2,60,False,0,3
2,3,37,1,83.2,0,0,16.6,47.6,82,18,0,0,0,0,0,35.0,12,60,True,0,3
0,0,17,1,25.5,0,0,4.2,16.0,61,1,0,0,0,0,0,0.0,3,60,True,0,3
0,0,0,0,1.7,0,0,0.2,0.4,40,13,0,0,0,0,0,0.0,0,60,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,60,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,60,False,0,3
0,0,17,0,18.7,1,0,2.8,8.8,73,5,0,0,0,0,0,0.0,2,60,True,0,3
0,0,7,0,2.0,3,0,1.2,2.2,45,19,0,0,0,0,0,8.0,1,60,False,0,3
0,0,13,0,23.2,2,0,4.2,19.2,79,10,0,0,0,0,0,0.0,2,60,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,59,False,0,3
0,0,7,0,29.0,1,0,3.8,8.6,54,2,0,0,0,0,0,0.0,1,59,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,59,False,0,3
0,0,3,0,0.6,0,0,0.2,1.0,7,17,0,0,0,0,0,0.0,1,58,False,0,3
0,0,3,0,4.3,0,0,0.5,0.4,16,12,0,0,0,0,0,0.0,1,58,True,0,3
0,0,22,1,16.1,0,0,2.6,10.2,67,15,0,0,0,0,0,0.0,3,58,True,0,3
0,0,3,0,15.3,1,0,2.2,5.0,32,10,0,0,0,0,0,2.0,1,58,False,0,3
0,0,11,1,24.8,0,0,5.5,14.4,73,13,0,0,0,0,0,16.0,3,57,True,0,3
0,0,13,0,42.0,1,0,6.4,15.0,76,1,0,0,0,0,0,7.0,2,57,False,0,3
0,0,5,0,14.3,0,0,2.2,7.4,33,8,0,0,0,0,0,0.0,1,57,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,57,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,57,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,57,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,57,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,57,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,56,False,0,3
0,0,2,0,0.1,0,0,0.3,1.2,13,17,0,0,0,0,0,2.0,1,56,True,0,3
0,0,9,0,23.8,0,0,2.9,4.8,56,14,0,0,0,0,0,0.0,1,56,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,56,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,56,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,56,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,56,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,56,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,56,False,0,3
