assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,5,0,29.2,0,0,4.0,5.0,55,4,0,0,0,0,0,6.0,1,55,True,0,3
0,0,0,0,0.3,0,0,0.0,0.0,6,8,0,0,0,0,0,0.0,1,55,False,0,3
0,0,3,0,10.5,1,0,1.2,1.0,4,11,0,0,0,0,0,0.0,1,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,53,True,0,3
0,0,4,0,1.2,0,0,0.9,7.8,35,12,0,0,0,0,0,0.0,1,53,False,0,3
0,0,1,0,1.5,2,0,2.3,4.4,19,20,0,0,0,0,0,17.0,1,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,52,True,0,3
0,0,1,0,1.5,0,0,0.6,2.0,24,2,0,0,0,0,0,2.0,1,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,51,True,0,3
0,0,3,0,5.3,1,0,0.6,0.8,8,13,0,0,0,0,0,0.0,1,51,False,0,3
0,0,6,1,21.8,0,0,5.2,8.6,73,18,0,0,0,0,0,22.0,3,51,True,0,3
0,2,44,0,6.3,3,2,11.0,71.0,80,9,0,0,0,0,0,33.0,14,51,False,0,3
0,0,26,0,16.4,2,1,8.9,47.6,90,14,0,0,0,0,0,25.0,6,51,True,1,3
0,0,9,0,17.2,3,0,2.4,3.2,80,17,0,0,0,0,0,4.0,2,51,False,0,3
0,0,15,0,16.8,1,0,3.7,10.4,90,5,0,0,0,0,0,10.0,2,51,False,0,3
0,0,11,0,34.5,2,0,7.8,15.4,90,1,0,0,0,0,0,28.0,1,51,True,1,3
0,0,15,0,43.1,1,0,6.0,14.8,68,10,0,0,0,0,0,2.0,2,51,False,0,3
0,0,15,0,28.6,2,0,7.2,11.8,90,19,0,0,0,0,0,32.0,2,51,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,51,True,0,3
0,0,8,1,14.3,0,0,3.6,10.4,88,6,0,0,0,0,0,11.0,3,51,False,0,3
0,0,2,0,10.9,0,0,3.6,3.8,56,11,0,0,0,0,0,21.0,1,51,False,0,3
0,0,1,0,0.6,1,0,0.0,0.0,4,8,0,0,0,0,0,0.0,1,51,True,0,3
0,0,0,0,12.2,0,0,7.0,12.0,28,7,0,0,0,0,0,46.0,1,51,True,0,3
0,0,7,1,14.8,0,0,4.4,3.4,76,4,0,0,0,0,0,26.0,3,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,51,True,0,3
0,0,4,0,12.5,2,0,5.1,4.0,45,1,0,0,0,0,0,34.0,1,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,51,True,0,3
1,0,10,0,0.5,1,0,0.0,0.0,27,14,0,0,0,0,0,0.0,4,51,False,0,3
2,1,25,0,22.6,0,0,4.5,20.6,17,17,0,0,0,0,0,2.0,8,51,True,0,3
0,0,9,1,24.3,0,0,5.6,9.4,75,3,0,0,0,0,0,22.0,3,51,False,0,3
0,0,3,0,0.0,1,0,0.0,0.0,7,12,0,0,0,0,0,0.0,1,51,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,51,True,0,3
1,0,19,0,28.2,1,0,6.0,27.8,45,15,0,0,0,0,0,4.0,4,51,False,0,3
0,0,6,1,2.0,0,0,0.3,0.0,66,18,0,0,0,0,0,2.0,3,51,False,0,3
0,0,3,0,0.8,1,0,0.1,0.4,9,2,0,0,0,0,0,0.0,1,51,True,0,3
0,0,14,0,14.5,1,0,5.5,10.0,66,19,0,0,0,0,0,30.0,2,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,51,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,55,False,0,3
0,0,4,0,0.7,1,0,0.1,0.4,22,10,0,0,0,0,0,0.0,1,55,True,0,3
0,0,0,0,0.0,0,0,2.0,3.0,6,4,0,0,0,0,0,17.0,1,54,False,0,3
0,0,-3,0,0.3,0,0,0.3,0.2,19,12,0,0,0,0,0,2.0,0,54,True,1,3
0,0,2,0,0.3,0,0,0.0,0.0,5,15,0,0,0,0,0,0.0,1,54,False,0,3
0,0,2,0,0.4,1,0,0.1,0.2,2,3,0,0,0,0,0,0.0,1,53,True,0,3
0,0,3,0,0.6,0,0,1.1,3.2,11,17,0,0,0,0,0,7.0,1,53,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,53,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,53,False,0,3
0,0,3,0,0.7,2,0,0.4,1.4,20,9,0,0,0,0,0,2.0,1,52,True,0,3
1,0,18,0,5.3,2,0,2.8,15.8,90,11,0,0,0,0,0,7.0,5,52,False,0,3
0,0,5,0,1.8,2,0,0.6,4.2,90,8,0,0,0,0,0,0.0,2,52,True,0,3
0,0,-1,0,2.8,1,0,0.6,1.4,85,1,0,0,0,0,0,2.0,2,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,52,False,0,3
0,0,3,0,1.3,0,0,0.8,0.8,6,19,0,0,0,0,0,6.0,1,52,True,0,3
0,0,6,0,2.1,1,0,1.1,3.2,75,2,0,0,0,0,0,6.0,2,52,False,0,3
0,0,12,1,16.7,0,0,3.9,14.0,85,6,0,0,0,0,0,8.0,3,52,False,0,3
0,0,2,0,1.1,0,0,0.3,0.2,22,7,0,0,0,0,0,2.0,1,52,True,0,3
0,0,6,1,29.8,0,0,6.6,10.0,89,17,0,0,0,0,0,26.0,3,52,True,0,3
0,3,26,0,30.2,1,1,10.6,50.8,77,9,0,0,0,0,0,25.0,9,52,False,1,3
0,0,5,0,1.4,2,0,1.4,4.0,70,20,0,0,0,0,0,9.0,2,52,True,0,3
0,1,24,1,14.8,0,1,11.0,45.2,90,7,0,0,0,0,0,50.0,9,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,52,False,0,3
0,0,9,0,4.3,2,0,3.8,3.0,90,5,0,0,0,0,0,31.0,2,52,True,0,3
0,2,31,1,53.7,0,1,14.5,46.0,90,2,0,0,0,0,0,45.0,9,52,True,1,3
0,0,12,0,3.0,3,0,2.9,7.2,90,19,0,0,0,0,0,19.0,2,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,52,True,0,3
1,2,34,1,12.7,0,1,12.1,65.6,81,14,0,0,0,0,0,43.0,13,52,False,0,3
0,0,11,0,14.6,2,0,5.9,7.4,90,1,0,0,0,0,0,37.0,2,52,True,0,3
0,0,2,0,2.1,1,0,1.6,9.4,25,18,0,0,0,0,0,4.0,1,52,False,0,3
1,0,23,1,11.9,0,0,6.2,33.8,90,11,0,0,0,0,0,16.0,6,52,True,0,3
