assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,65,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,65,True,0,3
0,0,5,0,7.3,1,0,2.0,4.6,57,20,0,0,0,0,0,8.0,1,65,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,65,False,0,3
0,0,-3,0,0.0,0,0,0.1,0.0,9,16,0,0,0,0,0,4.0,1,65,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,64,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,63,True,0,3
0,0,4,0,1.4,0,0,0.3,1.4,11,18,0,0,0,0,0,0.0,1,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,61,True,0,3
0,0,-3,0,1.8,0,0,2.5,0.4,45,8,0,0,0,0,0,23.0,1,60,False,0,3
0,0,5,0,2.5,0,0,1.1,2.2,16,7,0,0,0,0,0,6.0,1,60,True,0,3
0,0,2,0,0.1,0,0,0.0,0.0,5,11,0,0,0,0,0,0.0,1,60,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,60,True,0,3
0,0,2,0,0.3,0,0,0.2,0.0,3,4,0,0,0,0,0,2.0,1,60,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,59,True,0,3
0,0,-1,0,2.5,0,0,2.6,0.0,29,1,0,0,0,0,0,26.0,1,59,False,0,3
0,0,3,0,0.0,0,0,0.0,0.2,3,6,0,0,0,0,0,0.0,1,58,True,0,3
0,0,6,0,14.0,1,0,3.9,8.6,63,13,0,0,0,0,0,16.0,2,58,False,0,3
