assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,1,26,0,20.3,1,1,7.6,41.2,90,2,0,0,0,0,0,14.0,8,60,True,0,3
1,1,31,0,11.5,2,0,5.4,42.6,90,11,0,0,0,0,0,0.0,6,60,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,61,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,60,False,0,3
0,0,3,0,2.3,0,0,1.0,7.8,23,7,0,0,0,0,0,0.0,1,60,True,0,3
0,0,13,0,14.3,2,0,3.2,15.4,85,9,0,0,0,0,0,2.0,2,60,False,0,3
0,0,23,0,11.5,1,1,9.4,45.8,77,16,0,0,0,0,0,37.0,7,60,True,0,3
0,0,5,0,0.9,2,0,1.2,10.8,45,4,0,0,0,0,0,0.0,1,60,False,0,3
0,0,3,0,1.2,0,0,2.6,3.2,20,18,0,0,0,0,0,22.0,1,60,True,0,3
0,0,1,0,24.0,1,0,4.4,6.6,27,10,0,0,0,0,0,13.0,0,60,False,1,3
0,0,7,1,1.1,0,0,0.7,5.6,72,8,0,0,0,0,0,0.0,2,60,False,1,3
0,0,10,0,23.8,0,0,4.2,6.2,45,15,0,0,0,0,0,12.0,1,59,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,59,False,0,3
0,0,19,0,13.7,1,0,3.0,15.6,73,3,0,0,0,0,0,1.0,2,58,True,0,3
0,0,2,0,1.6,0,0,1.3,4.8,20,12,0,0,0,0,0,7.0,1,58,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,58,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,58,False,0,3
0,0,5,0,11.8,0,0,1.7,5.2,16,6,0,0,0,0,0,0.0,1,58,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,58,True,0,3
0,0,17,0,24.8,2,0,4.8,18.8,90,14,0,0,0,0,0,4.0,2,58,False,0,3
0,0,6,0,0.4,1,0,0.7,6.4,24,16,0,0,0,0,0,0.0,1,58,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,58,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,58,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,58,True,0,3
1,0,16,0,11.8,0,0,3.0,18.6,20,11,0,0,0,0,0,0.0,4,58,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,58,False,0,3
0,0,15,0,2.7,2,0,1.0,5.0,62,6,0,0,0,0,0,2.0,2,58,False,0,3
0,0,4,0,1.6,0,0,0.5,3.4,14,20,0,0,0,0,0,0.0,1,58,True,0,3
0,0,7,0,3.0,1,0,0.8,3.4,45,5,0,0,0,0,0,2.0,1,58,False,0,3
