assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,1,32,0,21.2,4,1,10.1,39.2,82,10,0,0,0,0,0,41.0,7,65,False,0,4
0,3,83,0,12.6,1,3,23.9,112.4,90,13,0,0,0,0,0,114.0,17,66,True,0,4
1,2,39,0,10.8,3,1,10.1,52.2,90,6,0,0,0,0,0,38.0,11,68,True,0,4
0,0,5,0,0.9,2,0,3.3,8.2,90,19,0,0,0,0,0,24.0,2,70,False,0,4
1,3,39,0,10.8,2,1,9.0,46.2,90,11,0,0,0,0,0,33.0,12,70,True,0,4
0,0,2,0,2.4,2,0,5.0,4.0,90,5,0,0,0,0,0,44.0,2,71,False,0,4
0,0,5,0,33.0,2,0,7.8,12.4,90,7,0,0,0,0,0,33.0,2,72,False,0,4
0,0,3,0,31.1,5,0,10.4,2.4,83,2,0,0,0,0,0,70.0,1,72,True,1,4
0,0,0,1,13.8,0,0,4.3,3.4,90,3,0,0,0,0,0,26.0,1,71,False,1,4
0,0,0,0,2.3,3,0,1.7,0.0,90,12,0,0,0,0,0,16.0,2,70,True,0,4
0,0,6,0,14.0,2,0,5.7,3.2,90,4,0,0,0,0,0,40.0,2,69,False,0,4
0,0,13,0,38.1,2,0,10.1,13.2,90,18,0,0,0,0,0,50.0,2,68,True,0,4
1,0,17,1,11.3,0,0,5.2,16.8,90,8,0,0,0,0,0,24.0,5,67,False,0,4
0,2,31,0,11.6,2,1,7.9,39.2,90,1,0,0,0,0,0,28.0,8,66,True,0,4
0,2,28,0,12.3,2,1,8.7,38.6,90,16,0,0,0,0,0,36.0,8,66,False,0,4
0,0,5,0,14.0,2,0,7.7,3.0,90,15,0,0,0,0,0,60.0,2,66,True,0,4
0,3,26,0,12.7,1,1,9.8,37.0,90,9,0,0,0,0,0,48.0,9,66,False,0,4
0,0,-2,0,3.5,2,0,8.3,13.2,90,20,0,0,0,0,0,66.0,2,66,True,0,4
0,0,-2,0,2.6,1,0,4.4,0.0,90,2,0,0,0,0,0,44.0,1,66,False,1,4
0,0,4,0,1.0,2,0,0.6,1.2,90,17,0,0,0,0,0,4.0,2,66,True,0,4
0,0,3,1,1.0,0,0,2.4,0.0,82,7,0,0,0,0,0,24.0,2,65,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,65,False,0,4
0,3,30,1,13.8,0,1,10.6,38.6,84,3,0,0,0,0,0,54.0,9,65,True,0,4
0,2,31,0,31.9,2,1,9.8,36.8,90,17,0,0,0,0,0,29.0,8,65,False,0,4
0,0,2,1,2.6,0,0,8.1,4.0,90,13,0,0,0,0,0,74.0,2,65,False,0,4
0,0,5,0,0.8,1,0,1.6,4.4,90,10,0,0,0,0,0,11.0,2,65,True,0,4
0,0,2,0,12.7,3,0,6.4,7.0,90,20,0,0,0,0,0,44.0,2,65,False,0,4
0,0,4,1,1.1,0,0,1.9,0.0,80,9,0,0,0,0,0,19.0,2,65,True,0,4
0,0,4,0,11.1,1,0,4.7,0.4,90,15,0,0,0,0,0,35.0,2,65,False,0,4
0,0,8,0,10.3,3,0,3.5,2.4,79,16,0,0,0,0,0,22.0,2,65,True,0,4
0,0,4,0,12.0,0,0,1.6,2.2,19,8,0,0,0,0,0,2.0,1,65,True,0,4
0,0,3,0,14.0,2,0,1.7,1.0,45,1,0,0,0,0,0,2.0,1,65,False,0,4
0,0,1,0,3.7,0,0,2.2,0.0,23,4,0,0,0,0,0,18.0,1,65,True,0,4
0,0,5,0,1.3,2,0,1.2,0.4,82,18,0,0,0,0,0,10.0,2,64,False,0,4
0,0,4,0,2.9,3,0,1.2,0.0,68,19,0,0,0,0,0,12.0,2,64,True,0,4
