assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,45,False,0,3
0,0,3,0,0.8,0,0,0.1,0.2,3,14,0,0,0,0,0,0.0,1,45,True,0,3
0,0,3,0,1.2,0,0,0.5,4.0,15,15,0,0,0,0,0,0.0,1,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,44,True,0,3
0,0,-1,0,1.3,0,0,0.2,0.4,25,4,0,0,0,0,0,0.0,1,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,44,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,44,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,43,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,43,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,43,True,0,3
0,0,6,0,0.9,0,0,1.6,6.8,23,8,0,0,0,0,0,8.0,1,43,False,0,3
0,0,3,0,11.7,0,0,2.3,7.2,25,7,0,0,0,0,0,4.0,0,43,False,1,3
1,0,21,1,17.2,0,0,5.9,19.6,90,13,0,0,0,0,0,22.0,6,43,True,0,3
0,0,28,1,5.8,0,1,6.6,43.4,90,10,0,0,0,0,0,17.0,8,43,True,0,3
1,0,20,1,30.8,0,0,5.7,22.8,90,5,0,0,0,0,0,3.0,6,43,False,0,3
0,0,10,0,15.1,1,0,5.2,16.2,90,14,0,0,0,0,0,21.0,2,44,False,0,3
0,0,2,0,12.4,2,0,1.6,4.0,30,2,0,0,0,0,0,0.0,0,44,True,1,3
0,0,15,1,29.8,0,0,4.6,10.6,90,12,0,0,0,0,0,6.0,3,44,False,0,3
0,0,8,1,4.4,0,0,1.2,0.4,69,15,0,0,0,0,0,7.0,3,44,True,0,3
0,0,4,0,3.1,2,0,0.2,0.0,63,17,0,0,0,0,0,0.0,2,44,False,0,3
0,0,10,1,9.0,0,0,4.7,4.0,90,19,0,0,0,0,0,34.0,3,44,True,0,3
1,0,21,1,19.8,0,0,4.5,23.2,76,7,0,0,0,0,0,2.0,6,44,True,0,3
0,0,11,0,0.9,3,0,1.1,4.2,65,9,0,0,0,0,0,6.0,1,44,False,1,3
0,0,0,0,7.4,1,0,1.7,0.0,90,11,0,0,0,0,0,12.0,1,44,False,1,3
0,0,28,0,20.2,2,1,9.4,36.6,90,8,0,0,0,0,0,37.0,7,44,True,0,3
0,0,20,0,25.8,1,0,4.8,18.6,90,3,0,0,0,0,0,4.0,2,44,True,0,3
0,0,4,0,2.6,0,0,1.0,7.0,45,20,0,0,0,0,0,0.0,1,44,False,0,3
0,0,15,0,12.4,3,0,2.4,11.2,90,4,0,0,0,0,0,0.0,2,44,True,0,3
0,0,7,0,5.1,1,0,1.0,1.2,90,16,0,0,0,0,0,4.0,2,44,False,0,3
0,0,8,1,7.0,0,0,4.3,15.4,90,18,0,0,0,0,0,21.0,3,44,True,0,3
0,0,2,0,1.4,1,0,0.3,2.0,25,1,0,0,0,0,0,0.0,1,44,False,0,3
0,0,1,0,1.5,0,0,0.4,2.0,30,15,0,0,0,0,0,0.0,1,55,True,0,3
0,0,2,1,1.3,0,0,0.1,0.0,60,11,0,0,0,0,0,1.0,2,55,False,1,3
0,0,11,0,0.9,2,0,0.9,8.4,45,5,0,0,0,0,0,0.0,1,54,False,0,3
0,0,4,0,0.8,1,0,0.8,5.2,45,17,0,0,0,0,0,2.0,1,54,True,0,3
0,0,3,0,1.3,1,0,0.3,1.8,65,12,0,0,0,0,0,0.0,2,54,False,0,3
2,0,17,0,17.1,0,0,5.7,20.2,35,2,0,0,0,0,0,20.0,6,53,True,1,3
0,0,2,0,1.8,0,0,2.0,1.8,21,4,0,0,0,0,0,16.0,1,53,True,0,3
0,0,3,0,0.0,0,0,0.0,0.2,1,3,0,0,0,0,0,0.0,1,53,False,0,3
0,0,3,0,0.5,4,0,1.4,4.8,45,1,0,0,0,0,0,9.0,1,53,True,0,3
0,0,16,0,17.6,2,0,3.8,18.2,90,9,0,0,0,0,0,2.0,1,53,False,1,3
0,0,10,0,4.3,2,0,2.9,13.0,90,18,0,0,0,0,0,12.0,2,53,True,0,3
0,0,-2,0,0.6,0,0,0.3,2.6,45,6,0,0,0,0,0,0.0,0,52,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,52,False,0,3
0,0,8,1,14.7,0,0,2.9,8.0,90,20,0,0,0,0,0,6.0,2,52,True,1,3
0,0,7,1,4.8,0,0,0.9,4.0,65,8,0,0,0,0,0,0.0,2,52,True,1,3
0,0,2,0,0.4,1,0,0.7,6.4,45,10,0,0,0,0,0,0.0,1,52,False,0,3
0,0,3,0,0.1,0,0,0.3,3.2,13,13,0,0,0,0,0,0.0,1,52,False,0,3
0,0,5,0,1.8,0,0,0.6,4.2,29,16,0,0,0,0,0,0.0,1,52,True,0,3
0,0,1,0,2.1,0,0,0.5,2.2,45,5,0,0,0,0,0,1.0,1,52,True,0,3
0,0,6,1,5.0,0,0,0.3,0.0,87,19,0,0,0,0,0,1.0,3,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,52,False,0,3
0,0,16,0,19.1,2,0,8.7,20.0,90,12,0,0,0,0,0,48.0,2,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,51,True,0,3
0,0,3,0,4.0,1,0,1.8,4.4,90,9,0,0,0,0,0,10.0,2,51,True,0,3
0,0,7,0,22.1,1,0,3.4,10.0,45,1,0,0,0,0,0,2.0,1,51,False,0,3
