assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,0,17,0,15.8,1,0,4.8,22.0,90,13,0,0,0,0,0,10.0,5,70,False,0,4
0,0,-1,0,1.4,2,0,0.5,0.0,90,4,0,0,0,0,0,6.0,1,70,True,1,4
0,0,-1,0,4.3,3,0,2.5,0.0,90,1,0,0,0,0,0,23.0,1,69,True,1,4
0,0,32,0,5.2,2,1,6.1,34.8,77,20,0,0,0,0,0,21.0,6,69,False,0,4
0,1,26,0,2.8,1,1,8.6,36.8,90,11,0,0,0,0,0,46.0,6,69,True,1,4
0,0,2,0,26.8,2,0,7.8,10.2,90,3,0,0,0,0,0,41.0,2,70,False,0,4
0,3,34,0,27.1,2,1,15.2,47.4,90,2,0,0,0,0,0,77.0,9,70,True,0,4
0,0,7,1,3.3,0,0,1.1,3.6,90,12,0,0,0,0,0,4.0,2,71,False,0,4
0,0,9,1,31.3,0,0,4.0,8.2,90,16,0,0,0,0,0,0.0,2,71,False,0,4
0,0,0,1,25.4,0,0,6.0,0.0,90,7,0,0,0,0,0,36.0,2,72,True,0,4
0,0,6,0,15.2,6,0,4.5,5.8,90,9,0,0,0,0,0,24.0,2,71,False,0,4
1,0,14,0,11.3,1,0,4.8,22.8,89,8,0,0,0,0,0,14.0,5,70,True,0,4
0,0,7,0,22.5,1,0,5.1,8.2,90,14,0,0,0,0,0,20.0,2,70,True,0,4
1,0,20,0,31.6,3,0,10.9,30.8,90,19,0,0,0,0,0,47.0,4,69,False,1,4
0,0,4,0,34.0,2,0,5.7,5.6,90,6,0,0,0,0,0,17.0,2,69,True,0,4
0,0,2,0,0.1,1,0,0.7,1.2,19,10,0,0,0,0,0,6.0,1,68,False,0,4
0,0,5,0,15.8,1,0,4.4,4.2,90,15,0,0,0,0,0,24.0,2,68,False,0,4
0,2,30,0,19.6,1,1,9.4,35.6,77,5,0,0,0,0,0,39.0,8,68,True,0,4
0,0,5,0,16.3,4,0,2.6,4.0,90,17,0,0,0,0,0,6.0,2,68,True,0,4
0,0,12,0,33.9,2,0,6.9,17.2,90,14,0,0,0,0,0,18.0,2,67,False,0,4
0,0,2,1,11.3,0,0,5.6,7.8,90,12,0,0,0,0,0,37.0,1,67,True,1,4
0,3,36,0,14.6,2,1,10.1,47.4,90,2,0,0,0,0,0,39.0,9,67,False,0,4
0,3,36,0,1.9,1,1,7.7,45.8,84,1,0,0,0,0,0,29.0,9,66,False,0,4
0,1,28,0,25.2,1,1,13.3,48.2,90,3,0,0,0,0,0,60.0,7,66,True,0,4
0,0,3,0,8.1,2,0,4.1,2.8,90,11,0,0,0,0,0,30.0,2,67,False,0,4
0,3,26,0,17.6,1,1,9.3,42.0,90,20,0,0,0,0,0,33.0,9,68,True,0,4
0,0,26,0,12.8,4,1,10.2,35.6,90,13,0,0,0,0,0,54.0,5,68,True,1,4
0,0,1,0,16.6,1,0,4.6,3.2,90,5,1,0,0,0,0,26.0,0,68,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,69,True,0,4
1,2,37,1,26.8,0,1,11.7,53.2,90,19,0,0,0,0,0,37.0,11,69,True,0,4
0,0,2,0,2.3,0,0,0.5,0.0,21,17,0,0,0,0,0,4.0,1,69,False,0,4
0,0,5,1,23.3,0,0,6.4,13.2,90,16,0,0,0,0,0,27.0,2,69,True,0,4
0,0,-1,0,2.1,2,0,1.2,0.8,90,7,0,0,0,0,0,9.0,2,68,False,0,4
0,0,3,0,13.6,1,0,3.4,2.6,90,9,0,0,0,0,0,18.0,2,67,True,0,4
0,0,1,0,3.6,1,0,1.0,2.6,24,8,0,0,0,0,0,4.0,1,67,False,0,4
0,0,4,0,32.3,1,0,6.0,13.4,90,6,0,0,0,0,0,14.0,2,67,False,0,4
0,0,-1,0,0.0,0,0,0.0,0.0,1,4,0,0,0,0,0,0.0,0,67,False,1,4
0,0,3,0,0.1,0,0,0.1,0.4,32,10,0,0,0,0,0,0.0,1,66,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,65,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,65,False,0,4
0,0,3,0,0.5,0,0,0.1,0.4,7,3,0,0,0,0,0,0.0,1,65,True,0,4
0,0,1,0,1.1,0,0,0.4,3.0,6,14,0,0,0,0,0,0.0,1,65,False,0,4
0,0,4,0,0.4,2,0,0.3,2.8,16,11,0,0,0,0,0,0.0,1,64,True,0,4
1,0,17,0,11.6,0,0,5.1,22.2,4,16,0,0,0,0,0,17.0,4,64,False,0,4
0,0,5,0,12.5,2,0,2.8,7.0,90,19,0,0,0,0,0,8.0,2,64,False,0,4
0,1,28,0,22.4,0,1,10.1,39.6,27,1,0,0,0,0,0,39.0,6,63,True,0,4
0,0,8,0,13.8,2,0,3.2,9.8,79,5,0,0,0,0,0,8.0,2,63,False,0,4
0,0,-2,0,2.3,1,0,4.6,0.0,90,15,0,0,0,0,0,44.0,1,63,True,1,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,63,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,63,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,63,False,0,4
0,0,26,0,1.7,1,1,7.3,35.2,18,12,0,0,0,0,0,36.0,5,63,True,0,4
0,0,5,0,15.8,1,0,3.1,9.6,90,17,0,0,0,0,0,6.0,2,63,True,0,4
0,0,5,0,16.3,1,0,3.2,0.4,90,4,0,0,0,0,0,15.0,2,63,False,0,4
0,0,3,1,2.6,0,0,1.7,3.0,79,6,0,0,0,0,0,11.0,2,63,False,0,4
0,0,-8,0,0.1,4,0,0.0,0.0,32,8,0,0,0,1,0,2.0,-2,63,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,63,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,63,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,63,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,63,False,0,4
1,0,14,0,43.5,0,0,7.6,22.8,45,14,0,0,0,0,0,10.0,4,63,True,0,4
0,0,6,0,36.8,2,0,7.7,5.6,90,9,0,0,0,0,0,35.0,2,63,False,0,4
0,0,8,1,2.6,0,0,3.0,5.0,90,15,0,0,0,0,0,22.0,2,63,False,0,4
0,0,29,0,37.8,1,1,10.6,34.8,90,5,0,0,0,0,0,33.0,6,63,True,0,4
