assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,52,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,51,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,51,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,50,True,0,2
0,0,3,0,0.0,0,0,0.0,0.0,1,10,0,0,0,0,0,0.0,1,49,False,0,2
0,0,10,0,0.9,2,0,0.7,6.0,67,8,0,0,0,0,0,0.0,1,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,49,False,0,2
0,0,20,0,21.0,1,0,4.2,20.6,90,13,0,0,0,0,0,0.0,2,49,True,0,2
0,1,30,1,1.3,0,0,1.9,17.6,90,3,0,0,0,0,0,0.0,7,49,True,0,2
0,0,15,0,0.3,2,0,1.8,17.8,90,18,0,0,0,0,0,0.0,1,49,False,0,2
0,0,15,0,0.1,1,0,4.2,41.6,90,1,0,0,0,0,0,0.0,2,49,False,0,2
0,0,8,0,0.2,1,0,0.5,5.0,45,11,0,0,0,0,0,0.0,1,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,49,False,0,2
0,0,14,0,3.4,2,0,2.7,23.4,90,9,0,0,0,0,0,0.0,0,49,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,49,True,0,2
0,0,26,1,0.7,0,0,2.1,20.0,90,14,0,0,0,0,0,0.0,6,49,True,0,2
0,0,25,1,3.3,0,0,1.4,10.2,90,7,0,0,0,0,0,0.0,6,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,49,False,0,2
0,0,16,0,0.2,1,0,2.2,21.6,90,5,0,0,0,0,0,0.0,2,49,True,0,2
0,0,17,0,1.3,2,0,1.8,16.8,90,6,0,0,0,0,0,0.0,1,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,49,True,0,2
0,0,31,1,0.8,0,0,2.4,23.6,90,16,0,0,0,0,0,0.0,6,49,True,0,2
0,0,3,0,0.0,0,0,0.0,0.0,1,11,0,0,0,0,0,0.0,1,49,False,0,2
0,0,22,0,1.5,1,0,2.4,22.2,90,19,0,0,0,0,0,0.0,2,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,49,False,0,2
0,0,16,0,1.3,1,0,2.7,17.8,90,1,0,0,0,0,0,8.0,2,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,49,False,0,2
0,0,26,1,1.4,0,0,1.0,8.6,90,20,0,0,0,0,0,0.0,6,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,49,True,0,2
0,0,24,1,0.1,0,0,1.9,19.0,90,6,0,0,0,0,0,0.0,5,55,True,1,2
0,0,14,0,0.9,1,0,1.8,17.0,90,20,0,0,0,0,0,0.0,2,55,False,0,2
0,0,13,0,2.8,2,0,1.4,11.0,90,7,0,0,0,0,0,0.0,1,55,True,0,2
0,0,17,0,11.3,1,0,3.2,20.8,90,16,0,0,0,0,0,0.0,2,55,False,0,2
0,2,26,1,0.4,0,0,1.7,17.0,90,9,0,0,0,0,0,0.0,8,54,True,0,2
0,0,13,0,10.7,2,0,2.2,11.0,90,19,0,0,0,0,0,0.0,1,54,False,0,2
0,0,12,0,0.5,1,0,2.1,20.4,90,1,0,0,0,0,0,0.0,2,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,54,False,0,2
0,0,13,0,0.3,1,0,1.3,12.2,90,10,0,0,0,0,0,0.0,2,54,True,0,2
0,0,15,0,0.6,1,0,1.1,8.8,90,14,0,0,0,0,0,2.0,2,54,False,0,2
