assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,-4,0,14.8,0,0,5.7,3.2,35,6,0,0,0,0,0,39.0,1,80,False,0,4
0,0,-5,1,30.4,0,0,9.6,8.4,90,5,0,0,0,0,0,57.0,2,80,True,0,4
0,0,7,0,3.6,1,0,0.8,2.8,63,9,0,0,0,0,0,2.0,2,79,True,0,4
0,0,1,0,11.5,0,0,4.9,2.2,18,14,0,0,0,0,0,35.0,1,79,False,0,4
0,0,1,0,0.3,0,0,0.0,0.0,4,15,0,0,0,0,0,1.0,1,78,True,0,4
1,0,10,0,30.2,1,0,8.6,17.8,85,12,0,0,0,0,0,38.0,5,78,False,0,4
0,0,2,0,0.5,0,0,0.3,0.0,1,10,0,0,0,0,0,2.0,1,78,True,0,4
0,0,11,0,50.2,1,0,9.3,8.8,90,19,0,0,0,0,0,34.0,2,78,False,0,4
0,0,-2,0,2.8,0,0,0.7,0.0,29,2,0,0,0,0,0,8.0,1,78,False,0,4
0,3,27,0,15.8,1,1,8.6,29.2,90,8,0,0,0,0,0,41.0,9,77,True,0,4
0,0,-1,0,1.0,0,0,2.3,1.0,18,1,0,0,0,0,0,21.0,1,77,False,0,4
1,0,9,0,11.8,2,0,3.9,0.0,67,20,0,0,0,0,0,29.0,5,77,True,0,4
0,0,3,0,0.3,0,0,0.0,0.0,8,4,0,0,0,0,0,0.0,1,77,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,76,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,76,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,76,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,75,True,0,4
0,0,4,0,0.3,0,0,0.3,2.2,2,13,0,0,0,0,0,0.0,1,75,False,0,4
0,0,3,0,0.3,1,0,0.4,2.0,14,18,0,0,0,0,0,2.0,1,75,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,75,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,75,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,75,False,0,4
0,0,2,0,0.3,0,0,0.0,0.0,6,15,0,0,0,0,0,0.0,1,75,False,0,4
