assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,14,0,0.4,1,0,2.2,17.2,90,18,0,0,0,0,0,4.0,1,55,True,1,2
0,0,15,0,1.3,2,0,5.0,20.4,90,11,0,0,0,0,0,28.0,1,55,False,0,2
0,0,16,0,0.6,1,0,2.7,22.2,90,15,0,0,0,0,0,4.0,2,55,True,0,2
0,0,13,0,0.2,2,0,3.2,28.2,90,1,0,0,0,0,0,4.0,0,55,False,1,2
0,1,27,1,0.5,0,0,4.2,14.2,90,16,0,0,0,0,0,27.0,7,54,True,0,2
0,0,29,1,1.8,0,0,5.1,46.8,90,20,0,0,0,0,0,2.0,5,54,False,1,2
0,3,33,1,13.6,0,0,4.8,26.6,90,8,0,0,0,0,0,8.0,9,54,False,0,2
0,0,26,0,10.8,1,0,7.6,38.4,90,3,0,0,0,0,0,27.0,2,54,True,0,2
0,0,17,0,0.2,1,0,4.3,42.8,90,10,0,0,0,0,0,0.0,2,54,False,0,2
0,0,11,0,1.4,2,0,2.2,15.0,90,4,0,0,0,0,0,6.0,1,54,True,0,2
0,0,9,0,1.5,2,0,2.3,8.4,90,7,0,0,0,0,0,13.0,1,54,False,0,2
0,1,29,1,0.1,0,0,2.5,25.0,90,9,0,0,0,0,0,0.0,7,54,True,0,2
0,1,28,1,21.4,0,0,6.4,18.8,90,6,0,0,0,0,0,24.0,7,55,True,0,2
0,0,22,0,0.7,3,0,5.2,42.2,90,5,0,0,0,0,0,9.0,1,55,False,0,2
0,3,34,1,0.8,0,0,3.0,29.0,90,12,0,0,0,0,0,0.0,9,56,True,0,2
0,3,31,1,11.9,0,0,6.1,27.2,90,14,0,0,0,0,0,22.0,9,56,False,0,2
0,0,21,0,0.5,1,0,3.3,25.4,90,2,0,0,0,0,0,7.0,2,57,False,0,2
0,2,32,0,0.5,4,1,7.5,55.4,90,17,0,0,0,0,0,19.0,8,57,True,0,2
0,0,7,0,1.0,2,0,1.6,13.4,88,19,0,0,0,1,0,2.0,-2,58,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,58,False,0,2
0,0,17,0,11.3,1,0,6.1,25.6,90,3,0,0,0,0,0,24.0,2,58,False,0,2
0,0,4,0,0.6,0,0,0.7,4.0,54,8,0,0,0,0,0,2.0,1,58,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,58,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,57,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,57,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,56,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,56,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,56,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,56,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,56,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,56,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,56,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,56,True,0,2
