assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,1,0,90,19,0,0,0,0,1,2,2,True,0
0,0,0,1,0,90,17,0,0,0,0,2,4,3,False,0
0,0,0,0,0,0,2,0,0,0,0,3,0,0,True,0
0,0,0,0,0,0,12,0,0,0,0,4,0,0,False,0
0,0,0,0,0,0,14,0,0,0,0,5,0,0,True,0
0,0,0,0,0,0,15,0,0,0,0,6,0,0,False,0
0,0,0,0,0,0,6,0,0,0,0,7,0,0,False,0
0,0,0,0,0,0,20,0,0,0,0,8,0,0,True,0
0,0,0,0,0,0,8,0,0,0,0,9,0,0,False,0
0,0,0,0,0,0,9,0,0,0,0,10,0,0,True,0
0,0,0,0,0,0,3,0,0,0,0,11,0,0,False,0
0,0,0,2,0,90,10,0,0,0,0,12,1,1,True,0
0,0,0,5,0,90,16,0,0,0,0,13,3,0,False,1
0,0,1,0,0,90,13,0,0,0,0,14,3,7,True,0
0,0,0,3,0,90,7,0,0,0,0,15,3,2,False,0
0,0,0,2,0,90,11,0,0,0,0,16,4,2,True,0
0,0,0,1,0,90,4,0,0,0,0,17,5,3,True,0
0,0,0,1,0,90,18,0,0,0,0,18,2,2,False,0
0,0,0,2,0,90,1,0,0,0,0,19,5,2,False,0
0,0,0,2,0,90,16,0,0,0,0,20,2,1,True,0
0,0,0,3,0,90,20,0,0,0,0,21,0,1,False,0
0,0,0,1,0,90,6,0,0,0,0,22,7,4,True,0
0,1,1,0,0,90,2,0,0,0,0,23,2,7,False,0
0,0,0,4,0,90,15,0,0,0,0,24,3,1,True,0
0,0,0,1,0,90,14,0,0,0,0,25,2,2,False,0
0,2,1,0,0,90,12,0,0,0,0,26,4,9,True,0
0,0,1,0,0,90,19,0,0,0,0,27,1,6,False,0
0,1,1,0,0,90,18,0,0,0,0,29,2,7,True,0
0,0,0,1,0,90,4,0,0,0,0,30,10,5,False,0
0,0,0,3,0,90,13,0,0,0,0,31,4,2,False,0
0,0,1,0,0,90,1,0,0,0,0,32,3,7,True,0
0,0,0,2,0,90,8,0,0,0,0,33,0,1,True,0
0,0,0,1,0,90,9,0,0,0,0,34,0,2,False,0
0,0,0,1,0,90,17,0,0,0,0,34,3,3,True,0
0,0,0,2,0,90,3,0,0,0,0,35,1,1,True,0
0,0,0,5,0,90,10,0,0,0,0,36,7,2,False,0
0,0,1,0,0,90,7,0,0,0,0,37,0,6,True,0
0,0,0,2,0,90,11,0,0,0,0,38,0,1,False,0
0,0,0,3,0,90,8,0,0,0,0,1,4,2,True,0
0,3,0,1,0,90,10,0,0,0,0,2,12,9,False,0
0,0,0,2,0,90,16,0,0,0,0,3,1,1,True,0
0,0,0,1,0,90,4,0,0,0,0,4,1,2,False,0
0,0,0,1,0,90,14,0,0,0,0,5,3,3,True,0
0,0,0,5,0,90,11,0,0,0,0,6,4,1,False,0
0,0,0,4,0,90,12,0,0,0,0,7,3,1,False,0
0,0,0,0,0,0,5,0,0,0,0,8,0,0,True,0
0,0,0,0,0,0,13,0,0,0,0,9,0,0,False,0
0,0,0,0,0,0,20,0,0,0,0,10,0,0,True,0
0,0,0,0,0,0,17,0,0,0,0,11,0,0,False,0
0,0,0,0,0,0,7,0,0,0,0,12,0,0,True,0
0,0,0,1,0,90,15,0,0,0,0,13,2,2,True,0
0,2,1,0,0,90,3,0,0,0,0,14,3,9,False,0
0,0,0,0,0,0,19,0,0,0,0,15,0,0,False,0
0,0,0,0,0,0,2,0,0,0,0,16,0,0,True,0
0,0,0,0,0,0,18,0,0,0,0,17,0,0,True,0
0,0,0,0,0,0,9,0,0,0,0,18,0,0,False,0
0,0,0,0,0,0,16,0,0,0,0,19,0,0,False,0
0,0,0,0,0,0,1,0,0,0,0,20,0,0,True,0
0,0,1,0,0,90,11,0,0,0,0,21,5,7,True,0
0,0,0,1,0,90,14,0,0,0,0,22,2,2,False,0
0,2,1,0,0,90,4,0,0,0,0,23,2,8,True,0
0,0,0,4,0,90,1,0,0,0,0,24,6,2,False,0
0,0,0,1,0,90,20,0,0,0,0,25,2,2,False,0
0,1,0,1,0,90,13,0,0,0,0,26,7,5,True,0
0,0,0,3,0,90,7,0,0,0,0,27,2,1,False,0
0,0,0,1,0,90,17,0,0,0,0,28,4,3,True,0
0,0,0,3,0,90,12,0,0,0,0,29,4,2,True,0
0,0,0,2,0,90,5,0,0,0,0,30,7,3,False,0
0,0,1,0,0,90,8,0,0,0,0,31,2,6,False,0
0,0,0,2,0,90,10,0,0,0,0,32,4,2,True,0
