assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,8,0,10.4,2,0,1.9,4.6,90,7,0,0,0,0,0,4.0,1,50,False,0,2
0,0,24,1,0.3,0,0,2.3,20.2,90,1,0,0,0,0,0,2.0,6,50,True,0,2
0,0,26,0,0.6,1,1,7.6,51.2,90,16,0,0,0,0,0,24.0,8,50,True,0,2
0,0,16,0,0.2,4,0,2.3,23.2,90,9,0,0,0,0,0,0.0,0,50,False,0,2
0,0,21,1,0.3,0,0,0.8,6.0,90,3,0,0,0,0,0,2.0,6,50,True,0,2
0,0,15,0,10.3,4,0,3.1,18.8,90,11,0,0,0,0,0,2.0,0,50,False,0,2
0,0,23,1,0.2,0,0,1.3,12.4,90,13,0,0,0,0,0,0.0,6,50,True,0,2
0,0,15,0,0.4,3,0,2.8,23.2,90,4,0,0,0,0,0,4.0,1,50,False,0,2
0,0,16,0,0.5,1,0,4.3,36.8,90,5,0,0,0,0,0,6.0,2,50,True,0,2
0,0,8,0,0.2,1,0,1.4,13.4,90,17,0,0,0,0,0,0.0,2,50,False,0,2
0,0,6,0,0.3,2,0,0.5,5.0,90,19,0,0,0,0,0,0.0,1,50,True,0,2
0,0,10,0,10.4,2,0,8.4,13.2,90,18,0,0,0,0,0,60.0,1,50,False,0,2
1,0,16,0,0.1,2,0,1.0,10.2,90,12,0,0,0,0,0,0.0,4,50,True,0,2
0,0,5,0,0.0,2,0,4.3,13.8,90,15,0,0,0,0,0,29.0,1,50,False,0,2
0,0,10,0,0.0,2,0,1.9,19.2,90,10,0,0,0,0,0,0.0,1,49,True,0,2
0,0,8,0,0.3,1,0,4.4,20.6,90,2,0,0,0,0,0,23.0,1,49,False,1,2
0,0,12,0,0.9,2,0,4.4,22.8,90,14,0,0,0,0,0,20.0,1,49,False,0,2
0,0,7,0,0.2,2,0,1.0,7.6,90,6,0,0,0,0,0,2.0,0,48,True,1,2
0,0,22,1,0.6,0,0,2.2,17.8,90,20,0,0,0,0,0,4.0,6,48,True,0,2
0,0,20,1,0.0,0,0,1.4,10.0,90,12,0,0,0,0,0,4.0,6,48,False,0,2
0,0,16,0,0.5,3,0,2.5,24.6,90,4,0,0,0,0,0,0.0,1,48,True,0,2
0,0,4,0,0.1,3,0,2.8,20.6,90,13,0,0,0,0,0,7.0,0,48,False,1,2
0,0,12,0,0.0,1,0,3.7,31.4,90,3,0,0,0,0,0,6.0,2,47,False,0,2
0,0,11,0,0.0,3,0,9.0,15.8,90,11,0,0,0,0,0,74.0,1,47,True,0,2
0,0,12,0,0.9,2,0,2.1,19.6,90,16,0,0,0,0,0,0.0,1,47,False,0,2
0,0,11,0,0.1,1,0,0.6,5.6,90,9,0,0,0,0,0,0.0,2,47,True,0,2
0,0,6,0,10.6,1,0,3.4,12.4,90,7,0,0,0,0,0,11.0,2,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,46,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,46,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,46,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,46,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,46,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,46,True,0,2
0,0,3,0,0.6,4,0,1.4,13.8,90,1,0,0,0,0,0,0.0,-1,45,False,1,2
0,0,22,1,10.2,0,0,3.2,18.2,90,3,0,0,0,0,0,4.0,5,45,True,1,2
0,0,16,0,0.3,2,0,4.7,44.4,90,12,0,0,0,0,0,2.0,1,45,False,0,2
0,0,13,0,0.0,2,0,3.4,31.8,90,5,0,0,0,0,0,2.0,1,45,True,0,2
0,0,13,0,10.3,1,0,2.7,15.0,90,8,0,0,0,0,0,2.0,2,45,False,0,2
0,0,14,0,0.9,3,0,2.0,19.0,90,10,0,0,0,0,0,0.0,1,45,True,0,2
