assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,12,0,52.1,1,0,9.1,12.6,79,20,0,0,0,0,0,26.0,2,75,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,75,False,0,3
0,3,32,1,67.6,0,1,13.7,45.2,76,3,0,0,0,0,0,24.0,11,74,True,0,3
0,0,17,0,87.1,2,0,15.2,20.0,76,16,0,0,0,0,0,45.0,2,74,False,0,3
0,0,19,0,52.7,2,0,7.0,17.4,83,9,0,0,0,0,0,0.0,1,74,True,1,3
0,0,23,0,47.3,3,0,6.4,11.0,69,1,0,0,0,0,0,6.0,2,74,False,0,3
0,2,32,1,61.7,0,1,13.1,38.6,88,7,0,0,0,0,0,31.0,10,74,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,73,True,0,3
0,0,5,0,14.1,0,0,1.7,2.4,13,11,0,0,0,0,0,0.0,1,73,True,0,3
0,0,3,0,5.5,0,0,1.0,0.2,13,13,0,0,0,0,0,4.0,1,72,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,72,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,72,False,0,3
0,0,-4,0,0.0,0,0,0.0,0.0,14,17,0,0,0,0,0,4.0,0,72,True,1,3
0,0,26,0,1.3,0,1,7.5,38.4,41,10,0,0,0,0,0,35.0,6,71,False,0,3
0,0,1,0,4.1,0,0,0.8,0.6,28,19,0,0,0,0,0,3.0,1,71,True,0,3
1,0,23,1,51.8,0,0,13.0,26.0,88,15,0,0,0,0,0,52.0,6,71,False,0,3
0,0,12,1,26.5,0,0,3.7,6.4,63,5,0,0,0,0,0,4.0,3,71,False,0,3
0,0,17,1,31.7,0,0,7.5,13.8,82,2,0,0,0,0,0,29.0,3,71,True,0,3
0,3,43,0,18.3,2,2,14.5,65.4,83,14,0,0,0,0,0,61.0,15,71,True,0,3
0,0,3,0,7.1,0,0,1.1,1.8,26,17,0,0,0,0,0,2.0,1,71,False,0,3
1,0,22,1,19.0,0,0,4.0,7.2,83,8,0,0,0,0,0,14.0,6,72,False,0,3
0,0,2,0,0.9,0,0,0.2,0.6,20,7,0,0,0,0,0,0.0,1,72,True,0,3
0,0,1,0,1.6,1,0,0.7,0.0,82,9,0,0,0,0,0,7.0,1,72,False,1,3
0,0,4,0,0.8,1,0,0.3,2.6,7,1,0,0,0,0,0,0.0,1,71,True,0,3
0,0,7,0,2.1,0,0,0.7,4.4,19,3,0,0,0,0,0,0.0,1,71,False,0,3
0,0,4,0,11.1,0,0,1.6,2.6,6,16,0,0,0,0,0,2.0,1,70,True,0,3
0,0,4,0,11.3,1,0,4.0,5.0,16,20,0,0,0,0,0,24.0,1,70,False,0,3
0,3,29,0,47.4,1,1,11.2,44.0,87,14,0,0,0,0,0,21.0,10,70,False,0,3
0,0,4,0,17.9,0,0,3.2,2.8,32,5,0,0,0,0,0,11.0,1,70,True,0,3
0,0,4,0,14.3,0,0,1.6,2.0,10,10,0,0,0,0,0,0.0,1,70,True,0,3
0,0,2,0,0.0,0,0,0.0,0.0,3,2,0,0,0,0,0,0.0,1,70,False,0,3
0,0,3,0,3.2,0,0,0.4,1.0,25,11,0,0,0,0,0,0.0,1,70,False,0,3
0,0,3,0,0.0,1,0,0.0,0.0,1,13,0,0,0,0,0,0.0,1,70,True,0,3
0,0,20,0,0.0,0,1,5.3,32.0,6,6,0,0,0,0,0,21.0,6,70,False,0,3
0,0,7,0,17.0,0,0,2.3,5.6,19,12,0,0,0,0,0,0.0,1,70,True,0,3
0,0,3,0,4.3,0,0,0.9,4.2,16,19,0,0,0,0,0,0.0,1,70,False,0,3
1,2,31,0,91.3,3,0,16.2,39.2,90,18,0,0,0,0,0,31.0,7,70,True,0,3
0,0,27,0,38.3,1,1,14.2,38.4,90,15,0,0,0,0,0,65.0,7,70,True,0,3
1,1,29,0,34.1,3,0,8.5,29.0,90,4,0,0,0,0,0,22.0,6,70,True,0,3
0,0,14,1,38.5,0,0,5.4,12.4,77,17,0,0,0,0,0,3.0,3,71,False,0,3
0,0,16,1,57.4,0,0,11.8,18.0,90,7,0,0,0,0,0,43.0,3,71,True,0,3
0,0,6,0,4.8,0,0,3.4,6.6,27,9,0,0,0,0,0,23.0,1,71,False,0,3
0,0,5,1,15.9,0,0,4.3,6.4,69,1,0,0,0,0,0,21.0,3,71,True,0,3
0,0,9,1,6.3,0,0,1.5,6.6,71,15,0,0,0,0,0,2.0,3,70,False,0,3
0,0,5,0,3.0,1,0,1.1,5.6,55,11,0,0,0,0,0,2.0,1,70,True,0,3
0,0,6,0,18.0,2,0,2.5,5.2,64,6,0,0,0,0,0,2.0,2,69,False,0,3
1,0,15,0,1.5,0,0,0.9,3.0,22,18,0,0,0,0,0,4.0,4,69,True,0,3
0,0,4,0,10.8,0,0,1.4,3.6,5,2,0,0,0,0,0,0.0,1,68,False,0,3
0,0,3,0,0.1,0,0,0.0,0.2,3,12,0,0,0,0,0,0.0,1,68,True,0,3
0,0,2,0,3.3,0,0,0.4,0.2,13,19,0,0,0,0,0,0.0,1,67,False,0,3
0,0,20,0,1.6,0,1,5.2,33.4,7,10,0,0,0,0,0,17.0,6,67,False,0,3
0,0,25,1,78.3,0,0,15.3,26.0,80,16,0,0,0,0,0,49.0,3,67,True,0,3
0,0,3,0,2.9,0,0,0.4,1.4,12,13,0,0,0,0,0,0.0,1,67,True,0,3
0,0,2,0,3.3,0,0,0.6,1.0,26,20,0,0,0,0,0,2.0,1,67,False,0,3
2,3,60,0,43.6,1,1,17.5,74.4,90,8,0,0,0,0,0,57.0,16,66,False,0,3
0,0,12,1,72.2,0,0,13.3,21.6,90,14,0,0,0,0,0,39.0,3,66,True,0,3
0,0,5,1,32.5,0,0,6.5,0.2,70,7,0,0,0,0,0,32.0,3,67,False,0,3
0,0,4,0,12.7,0,0,3.5,4.4,17,3,0,0,0,0,0,18.0,1,67,True,0,3
2,3,62,1,85.8,0,1,22.8,90.8,90,15,0,0,0,0,0,51.0,17,67,True,0,3
0,0,3,0,0.1,1,0,0.1,0.4,8,1,0,0,0,0,0,0.0,1,67,False,0,3
0,0,9,0,27.6,0,0,6.2,13.0,32,9,0,0,0,0,0,21.0,1,67,True,0,3
1,1,42,1,47.5,0,1,17.7,69.8,80,3,0,0,0,0,0,60.0,12,67,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,68,True,0,3
0,0,2,0,2.9,0,0,0.5,0.0,33,18,0,0,0,0,0,4.0,1,68,False,0,3
0,0,3,0,1.8,0,0,0.4,0.4,10,19,0,0,0,0,0,2.0,1,68,True,0,3
0,2,34,0,22.0,2,1,12.0,54.4,90,12,0,0,0,0,0,44.0,9,68,False,0,3
0,0,11,0,0.3,1,0,1.4,9.4,77,11,0,0,0,0,0,4.0,2,69,False,0,3
0,3,40,0,41.8,1,1,16.6,65.0,90,6,0,0,0,0,0,59.0,10,70,True,0,3
0,0,10,0,7.7,3,0,4.8,12.0,90,17,0,0,0,0,0,28.0,2,71,True,0,3
0,0,11,0,82.8,1,0,16.5,15.8,90,20,0,0,0,0,0,66.0,2,72,True,0,3
1,0,24,0,72.3,2,0,12.1,37.6,90,14,0,0,0,0,0,11.0,4,72,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,72,False,0,3
0,0,3,0,0.2,0,0,0.2,0.2,9,16,0,0,0,0,0,2.0,1,71,False,0,3
0,0,3,0,0.0,0,0,0.0,0.0,4,10,0,0,0,0,0,0.0,1,71,True,0,3
0,0,17,0,57.1,1,0,9.6,11.8,90,8,0,0,0,0,0,27.0,2,71,True,0,3
0,0,3,0,0.8,0,0,0.1,0.2,13,13,0,0,0,0,0,0.0,1,70,False,0,3
1,0,17,1,48.3,0,0,9.7,26.4,75,10,0,0,0,0,0,22.0,6,75,False,0,3
0,0,12,0,19.8,2,0,2.8,4.2,60,1,0,0,0,0,0,4.0,2,75,True,0,3
0,0,5,0,18.3,1,0,2.9,4.6,21,15,0,0,0,0,0,6.0,1,75,False,0,3
0,0,16,1,54.3,0,0,10.0,18.6,64,2,0,0,0,0,0,27.0,3,74,True,0,3
1,1,32,0,23.3,0,1,7.2,39.8,22,5,0,0,0,0,0,9.0,10,74,True,0,3
0,0,21,1,73.8,0,0,14.1,22.2,90,19,0,0,0,0,0,45.0,3,74,False,0,3
0,0,11,1,15.1,0,0,4.2,5.6,72,12,0,0,0,0,0,21.0,3,74,True,0,3
0,0,18,1,58.1,0,0,10.7,15.8,74,16,0,0,0,0,0,33.0,3,74,False,0,3
1,1,28,0,52.3,2,0,10.0,24.8,72,14,0,0,0,0,0,23.0,6,74,True,0,3
0,0,29,1,32.3,0,1,13.1,40.2,90,4,0,0,0,0,0,58.0,7,74,False,1,3
