assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,55,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,55,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,54,False,0,2
0,0,3,0,0.0,0,0,0.1,0.8,1,3,0,0,0,0,0,0.0,1,54,True,0,2
0,0,22,1,0.3,0,0,0.8,7.8,90,6,0,0,0,0,0,0.0,5,54,False,1,2
0,2,27,1,22.1,0,0,4.3,18.6,90,5,0,0,0,0,0,2.0,8,54,True,0,2
0,0,9,0,0.3,1,0,2.6,17.8,90,12,0,0,0,0,0,8.0,2,54,False,0,2
0,0,11,0,1.5,1,0,1.9,11.6,90,15,0,0,0,0,0,6.0,2,54,True,0,2
0,0,16,0,0.9,2,0,3.1,24.2,90,18,0,0,0,0,0,6.0,0,54,True,1,2
0,0,14,0,0.4,3,0,1.5,14.8,90,13,0,0,0,0,0,0.0,1,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,54,True,0,2
0,0,24,0,0.7,1,1,7.4,55.8,90,4,0,0,0,0,0,17.0,8,54,False,0,2
0,0,3,0,10.8,1,0,2.1,8.6,64,3,0,0,0,0,0,2.0,1,54,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,54,True,0,2
0,0,3,0,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,0.0,1,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,54,True,0,2
0,0,5,0,0.2,2,0,0.6,6.2,15,15,0,0,0,0,0,0.0,0,54,False,0,2
0,0,29,1,0.0,0,0,3.7,19.4,90,6,0,0,0,0,0,18.0,6,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,54,True,0,2
0,0,10,0,0.3,2,0,1.5,12.6,90,17,0,0,0,0,0,2.0,1,54,False,0,2
0,3,32,1,0.8,0,0,2.0,19.6,90,7,0,0,0,0,0,0.0,9,55,False,0,2
0,1,29,1,0.1,0,0,2.1,20.4,90,18,0,0,0,0,0,0.0,7,55,True,0,2
0,0,12,0,1.8,2,0,4.2,16.4,90,2,0,0,0,0,0,24.0,1,56,False,0,2
0,0,13,0,0.3,2,0,6.9,24.6,90,20,0,0,0,0,0,44.0,1,56,True,0,2
0,0,15,0,0.5,3,0,1.7,14.6,90,3,0,0,0,0,0,2.0,1,56,False,0,2
0,0,8,0,0.8,2,0,1.5,9.8,90,15,1,0,0,0,0,4.0,-1,56,True,0,2
0,0,12,0,0.7,3,0,10.5,33.4,90,11,0,0,0,0,0,71.0,0,55,True,1,2
0,0,13,0,0.4,1,0,2.2,17.4,90,5,0,0,0,0,0,4.0,2,55,False,0,2
0,0,25,1,0.3,0,0,5.1,16.2,90,19,0,0,0,0,0,34.0,6,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,54,False,0,2
0,0,11,0,1.0,1,0,1.1,6.2,90,17,0,0,0,0,0,4.0,2,54,True,0,2
0,0,10,0,0.3,1,0,4.8,13.8,90,16,0,0,0,0,0,34.0,2,54,False,0,2
0,0,10,0,14.0,2,0,3.0,12.0,90,14,0,0,0,0,0,4.0,1,54,True,0,2
0,0,14,0,10.1,2,0,3.7,27.0,90,9,0,0,0,0,0,0.0,1,53,False,0,2
0,0,14,0,10.4,5,0,3.9,27.0,90,10,0,0,0,0,0,2.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,53,True,0,2
0,0,11,0,0.0,1,0,2.3,22.8,90,12,0,0,0,0,0,0.0,2,53,False,0,2
0,0,27,1,10.8,0,0,4.5,12.2,90,1,0,0,0,0,0,22.0,6,53,True,0,2
0,1,26,1,10.2,0,0,4.8,12.0,90,5,0,0,0,0,0,26.0,7,53,True,0,2
0,0,2,0,0.1,0,0,1.0,3.2,10,13,0,0,0,0,0,7.0,1,53,False,0,2
0,0,10,0,0.3,2,0,1.6,11.4,90,11,0,0,0,0,0,4.0,0,53,False,1,2
0,0,4,0,0.0,0,0,0.5,5.0,5,4,0,0,0,0,0,0.0,1,53,True,0,2
0,0,12,0,0.3,1,0,5.2,27.4,90,19,0,0,0,0,0,24.0,2,53,False,0,2
0,0,7,0,1.0,2,0,2.3,11.4,90,13,0,0,0,0,0,11.0,1,53,True,0,2
0,3,31,0,0.6,2,2,14.4,87.6,90,18,0,0,0,0,0,56.0,15,53,False,1,2
