avg_assists,avg_bonus,avg_bps,avg_clean_sheets,avg_creativity,avg_goals_conceded,avg_goals_scored,avg_ict_index,avg_influence,avg_minutes,avg_opponent_team,avg_own_goals,avg_penalties_missed,avg_penalties_saved,avg_red_cards,avg_saves,avg_threat,avg_total_points,avg_value,was_home,avg_yellow_cards,position,actual_points,actual_minutes
0.0,0.6,11.6,0.2,5.920000000000001,0.6,0.4,4.98,14.720000000000002,30.8,10.4,0.0,0.0,0.0,0.0,0.0,29.2,3.4,45.0,0.0,0.0,4.0,1.0,45
0.0,0.6,12.0,0.2,8.02,0.6,0.4,5.700000000000001,15.560000000000002,35.0,8.6,0.0,0.0,0.0,0.0,0.0,33.4,3.4,45.0,1.0,0.0,4.0,8.0,79
0.4,0.6,16.2,0.2,8.02,0.8,0.4,5.300000000000001,15.360000000000003,49.6,9.2,0.0,0.0,0.0,0.0,0.0,29.6,4.8,45.2,1.0,0.0,4.0,2.0,85
0.4,0.6,15.0,0.4,8.36,1.0,0.4,5.8,14.920000000000002,66.6,10.6,0.0,0.0,0.0,0.0,0.0,36.0,5.0,45.8,1.0,0.0,4.0,0.0,0
0.4,0.0,4.4,0.2,3.6,1.0,0.0,1.78,0.8800000000000001,50.8,9.0,0.0,0.0,0.0,0.0,0.0,14.6,2.4,46.2,0.0,0.0,4.0,2.0,75
0.4,0.0,3.6,0.2,1.8200000000000003,1.2,0.0,1.46,0.24,56.8,10.6,0.0,0.0,0.0,0.0,0.0,13.8,2.6,46.6,0.0,0.0,4.0,2.0,75
0.0,0.0,0.0,0.2,1.8199999999999998,1.0,0.0,2.1,1.48,56.0,9.2,0.0,0.0,0.0,0.0,0.0,18.8,1.4,46.8,1.0,0.0,4.0,0.0,0
0.0,0.0,-0.4,0.0,0.6599999999999999,1.0,0.0,1.1400000000000001,1.48,39.0,10.4,0.0,0.0,0.0,0.0,0.0,9.6,1.0,47.0,0.0,0.0,4.0,0.0,0
0.0,0.0,0.4,0.0,0.6,0.6,0.0,1.56,1.92,39.0,10.6,0.0,0.0,0.0,0.0,0.0,13.0,1.0,46.6,0.0,0.0,4.0,2.0,67
0.0,0.0,0.0,0.0,0.45999999999999996,0.2,0.0,0.58,0.44000000000000006,22.4,12.4,0.0,0.0,0.0,0.0,0.0,5.4,0.6,46.0,1.0,0.0,4.0,1.0,45
